member_id,member_key,membership_type,effective_date,end_date
MEM000360,0,Family,19-07-2024,
MEM000362,0,Basic,24-08-2025,
MEM000364,0,Premium,05-04-2025,
MEM000370,0,Basic,22-12-2024,
MEM000372,0,Basic,26-11-2023,
MEM000386,0,Basic,30-08-2025,
MEM000345,0,Premium,18-03-2023,
MEM000355,0,Student,08-11-2023,
MEM000357,0,Basic,22-02-2025,
MEM000367,0,Premium,06-05-2024,
MEM000368,0,Family,20-09-2023,
MEM000374,0,Student,14-12-2023,
MEM000384,0,Premium,24-05-2025,
MEM000385,0,Basic,22-04-2023,
MEM000387,0,Family,15-08-2023,
MEM000388,0,Basic,31-05-2025,
MEM000342,0,Premium,17-01-2025,
MEM000343,0,Basic,04-06-2023,
MEM000351,0,Basic,20-01-2025,
MEM000361,0,Family,08-03-2024,
MEM000365,0,Family,17-01-2023,
MEM000369,0,Student,26-01-2023,
MEM000371,0,Student,13-09-2025,
MEM000376,0,Basic,31-01-2025,
MEM000390,0,Premium,21-03-2023,
MEM000395,0,Premium,20-08-2023,
MEM000399,0,Family,04-03-2024,
MEM000400,0,Senior,14-05-2023,
MEM000407,0,Basic,23-11-2023,
MEM000408,0,Premium,21-01-2024,
MEM000427,0,Basic,24-02-2024,
MEM000434,0,Basic,17-03-2024,
MEM000392,0,Premium,06-12-2022,
MEM000393,0,Basic,08-04-2023,
MEM000398,0,Basic,28-12-2022,
MEM000404,0,Family,24-12-2022,
MEM000405,0,Premium,18-11-2024,
MEM000406,0,Premium,09-04-2024,
MEM000411,0,Basic,24-07-2023,
MEM000412,0,Basic,05-01-2023,
MEM000416,0,Basic,22-06-2025,
MEM000396,0,Basic,10-08-2024,
MEM000401,0,Basic,08-12-2022,
MEM000403,0,Basic,09-12-2023,
MEM000410,0,Basic,24-01-2023,
MEM000415,0,Family,08-11-2022,
MEM000425,0,Basic,28-09-2024,
MEM000429,0,Basic,28-02-2025,
MEM000432,0,Premium,30-11-2022,
MEM000436,0,Family,09-10-2025,
MEM000394,0,Family,27-11-2023,
MEM000402,0,Basic,18-01-2023,
MEM000409,0,Premium,14-01-2023,
MEM000413,0,Family,03-12-2024,
MEM000414,0,Basic,19-08-2024,
MEM000418,0,Premium,06-11-2023,
MEM000430,0,Premium,14-12-2024,
MEM000431,0,Student,07-01-2024,
MEM000437,0,Senior,08-12-2023,
MEM000440,0,Student,27-03-2023,
MEM000442,0,Family,18-11-2024,
MEM000445,0,Senior,26-08-2024,
MEM000452,0,Basic,01-06-2023,
MEM000455,0,Basic,24-08-2023,
MEM000463,0,Premium,29-03-2025,
MEM000472,0,Family,21-12-2024,
MEM000444,0,Premium,11-01-2023,
MEM000449,0,Premium,05-11-2022,
MEM000451,0,Family,29-12-2022,
MEM000453,0,Family,04-10-2023,
MEM000454,0,Basic,11-09-2025,
MEM000456,0,Basic,05-05-2024,
MEM000461,0,Premium,17-02-2025,
MEM000464,0,Basic,19-01-2023,
MEM000448,0,Premium,18-11-2024,
MEM000479,0,Basic,06-11-2023,
MEM000481,0,Premium,29-08-2025,
MEM000485,0,Basic,09-03-2024,
MEM000439,0,Basic,03-09-2023,
MEM000441,0,Student,18-06-2025,
MEM000447,0,Premium,11-01-2023,
MEM000457,0,Premium,18-06-2023,
MEM000458,0,Premium,05-03-2024,
MEM000459,0,Basic,19-03-2024,
MEM000462,0,Basic,14-01-2023,
MEM000465,0,Family,24-03-2024,
MEM000002,0,Premium,15-03-2024,
MEM000003,0,Premium,29-04-2023,
MEM000007,0,Premium,29-10-2023,
MEM000016,0,Senior,03-06-2025,
MEM000019,0,Family,05-05-2024,
MEM000020,0,Basic,03-04-2023,
MEM000025,0,Student,22-03-2023,
MEM000026,0,Premium,12-09-2023,
MEM000030,0,Basic,31-12-2023,
MEM000031,0,Basic,06-04-2025,
MEM000035,0,Premium,03-11-2024,
MEM000040,0,Family,07-12-2023,
MEM000043,0,Senior,22-10-2024,
MEM000051,0,Basic,29-03-2024,
MEM000060,0,Family,27-06-2025,
MEM000062,0,Family,07-04-2025,
MEM000063,0,Basic,29-02-2024,
MEM000124,0,Basic,21-02-2025,
MEM000135,0,Basic,05-10-2024,
MEM000136,0,Premium,18-02-2025,
MEM000142,0,Basic,14-04-2024,
MEM000159,0,Premium,06-05-2025,
MEM000162,0,Basic,19-03-2025,
MEM000169,0,Family,17-06-2024,
MEM000170,0,Family,17-08-2025,
MEM000174,0,Basic,09-07-2024,
MEM000177,0,Senior,11-08-2023,
MEM000184,0,Basic,10-01-2025,
MEM000186,0,Basic,10-09-2025,
MEM000187,0,Family,05-03-2024,
MEM000192,0,Premium,12-02-2024,
MEM000207,0,Student,23-05-2024,
MEM000218,0,Basic,10-11-2024,
MEM000486,0,Basic,30-07-2023,
MEM000487,0,Basic,20-12-2023,
MEM000492,0,Premium,02-01-2025,
MEM000488,0,Premium,15-01-2024,
MEM000489,0,Basic,08-06-2023,
MEM000494,0,Basic,09-12-2024,
MEM000490,0,Basic,13-01-2023,
MEM000491,0,Premium,01-10-2025,
MEM000493,0,Basic,19-11-2023,
MEM000227,0,Premium,25-12-2024,
MEM000230,0,Premium,28-12-2024,
MEM000235,0,Premium,29-12-2023,
MEM000248,0,Basic,13-04-2023,
MEM000249,0,Premium,18-02-2025,
MEM000262,0,Basic,26-08-2025,
MEM000265,0,Basic,01-12-2022,
MEM000268,0,Student,15-08-2024,
MEM000271,0,Family,15-06-2023,
MEM000276,0,Family,19-04-2024,
MEM000280,0,Premium,29-09-2024,
MEM000292,0,Premium,03-01-2025,
MEM000296,0,Premium,13-05-2023,
MEM000310,0,Premium,08-12-2023,
MEM000315,0,Basic,18-06-2025,
MEM000321,0,Basic,05-07-2025,
MEM000322,0,Family,28-08-2024,
MEM000325,0,Basic,29-09-2023,
MEM000332,0,Premium,18-09-2023,
MEM000339,0,Basic,15-12-2023,
MEM000341,0,Basic,28-05-2023,
MEM000344,0,Basic,23-03-2023,
MEM000347,0,Family,04-04-2024,
MEM000349,0,Basic,28-05-2025,
MEM000358,0,Student,14-10-2024,
MEM000359,0,Student,24-07-2023,
MEM000366,0,Basic,22-11-2022,
MEM000379,0,Basic,11-05-2023,
MEM000381,0,Premium,13-03-2025,
MEM000382,0,Basic,03-04-2025,
MEM000389,0,Basic,05-08-2024,
MEM000391,0,Family,26-03-2025,
MEM000397,0,Family,27-02-2024,
MEM000417,0,Family,28-07-2023,
MEM000420,0,Basic,19-08-2023,
MEM000424,0,Basic,21-07-2025,
MEM000428,0,Premium,18-12-2024,
MEM000433,0,Basic,16-05-2023,
MEM000435,0,Student,09-09-2023,
MEM000438,0,Senior,30-01-2025,
MEM000443,0,Premium,15-07-2024,
MEM000446,0,Premium,22-11-2024,
MEM000450,0,Family,02-01-2023,
MEM000460,0,Premium,12-10-2023,
MEM000471,0,Basic,13-04-2023,
MEM000476,0,Family,20-05-2023,
MEM000478,0,Premium,26-02-2023,
MEM000500,0,Student,08-12-2023,
MEM000073,0,Basic,21-01-2024,
MEM000079,0,Basic,08-06-2023,
MEM000080,0,Basic,25-03-2023,
MEM000082,0,Premium,08-12-2023,
MEM000084,0,Basic,13-02-2024,
MEM000087,0,Basic,23-10-2022,
MEM000088,0,Family,01-08-2024,
MEM000090,0,Basic,26-11-2024,
MEM000091,0,Premium,26-05-2023,
MEM000093,0,Senior,29-04-2025,
MEM000105,0,Student,16-03-2025,
MEM000108,0,Basic,30-10-2022,
MEM000110,0,Basic,28-12-2022,
MEM000116,0,Student,02-10-2025,
MEM000117,0,Basic,11-08-2024,
MEM000121,0,Basic,24-07-2025,
MEM000122,0,Premium,04-07-2025,
MEM000123,0,Premium,03-10-2023,
MEM000129,0,Basic,23-02-2023,
MEM000131,0,Basic,04-05-2023,
MEM000190,0,Student,26-07-2024,
MEM000191,0,Senior,12-12-2023,
MEM000209,0,Basic,13-06-2025,
MEM000211,0,Basic,24-03-2024,
MEM000212,0,Basic,21-12-2024,
MEM000219,0,Basic,20-06-2024,
MEM000223,0,Basic,06-05-2023,
MEM000224,0,Premium,22-07-2023,
MEM000228,0,Premium,12-10-2023,
MEM000232,0,Family,02-05-2024,
MEM000234,0,Student,18-07-2023,
MEM000238,0,Family,21-01-2023,
MEM000259,0,Basic,07-03-2025,
MEM000260,0,Premium,24-01-2023,
MEM000261,0,Basic,19-12-2024,
MEM000263,0,Premium,19-01-2024,
MEM000264,0,Premium,24-07-2025,
MEM000267,0,Student,03-02-2023,
MEM000270,0,Student,19-07-2025,
MEM000272,0,Premium,10-06-2024,
MEM000281,0,Premium,13-07-2025,
MEM000284,0,Student,28-07-2025,
MEM000285,0,Basic,01-03-2025,
MEM000287,0,Family,03-02-2024,
MEM000290,0,Basic,10-04-2023,
MEM000291,0,Student,29-11-2024,
MEM000480,0,Basic,29-07-2025,
MEM000498,0,Basic,21-07-2023,
MEM000419,0,Family,12-08-2023,
MEM000421,0,Premium,18-09-2024,
MEM000422,0,Premium,05-12-2024,
MEM000423,0,Basic,12-10-2023,
MEM000426,0,Basic,24-03-2024,
MEM000466,0,Basic,29-04-2025,
MEM000469,0,Premium,10-10-2025,
MEM000470,0,Student,15-10-2023,
MEM000475,0,Student,15-06-2025,
MEM000038,0,Basic,05-10-2025,
MEM000039,0,Basic,19-09-2025,
MEM000041,0,Premium,01-07-2024,
MEM000048,0,Basic,24-06-2024,
MEM000168,0,Premium,12-11-2024,
MEM000171,0,Student,07-11-2023,
MEM000175,0,Premium,11-05-2023,
MEM000176,0,Student,27-03-2025,
MEM000183,0,Basic,30-08-2025,
MEM000185,0,Basic,30-01-2025,
MEM000193,0,Family,27-03-2023,
MEM000336,0,Premium,19-12-2024,
MEM000337,0,Basic,15-09-2025,
MEM000125,0,Family,09-12-2024,
MEM000126,0,Student,06-09-2025,
MEM000133,0,Senior,17-04-2023,
MEM000137,0,Premium,12-12-2022,
MEM000138,0,Premium,07-05-2025,
MEM000139,0,Student,04-08-2024,
MEM000143,0,Basic,07-08-2025,
MEM000144,0,Basic,03-07-2025,
MEM000242,0,Student,18-04-2023,
MEM000335,0,Student,06-01-2025,
MEM000338,0,Family,26-02-2023,
MEM000467,0,Basic,17-11-2023,
MEM000468,0,Student,22-05-2023,
MEM000473,0,Premium,12-02-2024,
MEM000474,0,Basic,20-02-2025,
MEM000477,0,Basic,02-11-2022,
MEM000482,0,Senior,11-10-2023,
MEM000483,0,Basic,05-01-2025,
MEM000484,0,Student,16-05-2025,
MEM000495,0,Premium,13-10-2023,
MEM000496,0,Family,20-10-2022,
MEM000497,0,Premium,30-07-2023,
MEM000499,0,Basic,12-03-2024,
