equipmentid,facilityid,areaid,equipmentname,equipmenttype,brand,model,serialnumber,purchasedate,purchaseprice,warrantyexpiry,status
EQ0018,FAC001,AR001,Dumbbells #18,Free Weights,Cybex,Dumbbells-131,CC8125AE-5CE,2023-04-20,75,2026-04-19,Active
EQ0019,FAC001,AR001,Dumbbells #19,Free Weights,Bowflex,Dumbbells-600,266EE178-70D,2020-10-14,56,2021-10-14,Active
EQ0020,FAC001,AR001,Dumbbells #20,Free Weights,TRX,Dumbbells-344,BB4F6BAB-65A,2022-07-29,76,2025-07-28,Out of Service
EQ0021,FAC001,AR001,Dumbbells #21,Free Weights,Technogym,Dumbbells-152,056CBCF9-271,2021-11-03,93,2022-11-03,Active
EQ0022,FAC001,AR001,Dumbbells #22,Free Weights,Cybex,Dumbbells-721,4358E25B-954,2022-11-01,195,2024-10-31,Maintenance
EQ0023,FAC001,AR001,Dumbbells #23,Free Weights,Technogym,Dumbbells-699,6CE87127-177,2024-12-20,77,2026-12-20,Active
EQ0024,FAC001,AR001,Dumbbells #24,Free Weights,Bowflex,Dumbbells-619,610A7438-666,2022-03-30,135,2025-03-29,Active
EQ0025,FAC001,AR001,Dumbbells #25,Free Weights,TRX,Dumbbells-268,AE90FCB9-3DB,2022-05-16,181,2025-05-15,Active
EQ0026,FAC001,AR001,Dumbbells #26,Free Weights,TRX,Dumbbells-232,22493AA4-85F,2024-09-01,133,2026-09-01,Active
EQ0027,FAC001,AR001,Dumbbells #27,Free Weights,Cybex,Dumbbells-143,EF5C1ED0-ADC,2022-06-15,117,2023-06-15,Maintenance
EQ0028,FAC001,AR001,Dumbbells #28,Free Weights,StairMaster,Dumbbells-155,1BB80B5F-8C7,2022-11-01,132,2023-11-01,Out of Service
EQ0029,FAC001,AR001,Dumbbells #29,Free Weights,Schwinn,Dumbbells-461,3EDA88A2-D31,2024-03-26,68,2025-03-26,Active
EQ0030,FAC001,AR001,Dumbbells #30,Free Weights,Technogym,Dumbbells-868,2E30FC42-BC3,2020-10-28,62,2021-10-28,Active
EQ0031,FAC001,AR001,Dumbbells #31,Free Weights,Precor,Dumbbells-232,454481F0-4DC,2023-07-13,115,2024-07-12,Active
EQ0032,FAC001,AR001,Dumbbells #32,Free Weights,Bowflex,Dumbbells-270,E3950D1E-0EA,2023-06-07,93,2024-06-06,Active
EQ0033,FAC001,AR001,Dumbbells #33,Free Weights,NordicTrack,Dumbbells-618,EB39B7D9-1BA,2023-08-23,164,2026-08-22,Active
EQ0034,FAC001,AR001,Dumbbells #34,Free Weights,Bowflex,Dumbbells-640,C90E43E8-568,2024-05-25,189,2027-05-25,Active
EQ0035,FAC001,AR001,Dumbbells #35,Free Weights,Technogym,Dumbbells-760,9C0C4EAF-2BD,2022-03-05,120,2023-03-05,Maintenance
EQ0036,FAC001,AR001,Dumbbells #36,Free Weights,Technogym,Dumbbells-629,A87F669D-F6D,2020-10-28,76,2023-10-28,Maintenance
EQ0037,FAC001,AR001,Dumbbells #37,Free Weights,Bowflex,Dumbbells-661,D7DB5403-1B4,2025-05-06,62,2027-05-06,Active
EQ0038,FAC001,AR001,Dumbbells #38,Free Weights,Matrix,Dumbbells-298,C1EDD435-882,2021-07-01,164,2024-06-30,Active
EQ0039,FAC001,AR001,Kettlebells #1,Free Weights,Technogym,Kettlebells-628,D6CEBB56-F97,2021-01-16,125,2023-01-16,Active
EQ0040,FAC001,AR001,Kettlebells #2,Free Weights,Cybex,Kettlebells-702,97ED85D7-1DE,2025-08-28,65,2026-08-28,Active
EQ0041,FAC001,AR001,Kettlebells #3,Free Weights,StairMaster,Kettlebells-261,EF30DBEA-324,2021-01-22,80,2024-01-22,Active
EQ0042,FAC001,AR001,Kettlebells #4,Free Weights,Cybex,Kettlebells-733,81E93AFD-386,2025-05-19,119,2027-05-19,Active
EQ0043,FAC001,AR001,Kettlebells #5,Free Weights,StairMaster,Kettlebells-576,FEBE6EB7-8E4,2024-02-26,115,2027-02-25,Active
EQ0044,FAC001,AR001,Kettlebells #6,Free Weights,Bowflex,Kettlebells-735,BE64B517-0DD,2023-02-04,149,2026-02-03,Active
EQ0045,FAC001,AR001,Kettlebells #7,Free Weights,Cybex,Kettlebells-602,68133B95-E4E,2025-01-21,81,2028-01-21,Active
EQ0046,FAC001,AR001,Kettlebells #8,Free Weights,TRX,Kettlebells-310,031A0D10-A25,2021-08-04,129,2023-08-04,Active
EQ0047,FAC001,AR001,Kettlebells #9,Free Weights,Cybex,Kettlebells-451,A7551AC9-20C,2021-09-29,145,2024-09-28,Active
EQ0048,FAC001,AR001,Kettlebells #10,Free Weights,NordicTrack,Kettlebells-911,90B00ACA-2E7,2021-03-11,125,2022-03-11,Active
EQ0049,FAC001,AR001,Kettlebells #11,Free Weights,Cybex,Kettlebells-567,0AC92E63-F1D,2023-06-17,113,2025-06-16,Active
EQ0050,FAC001,AR001,Kettlebells #12,Free Weights,Cybex,Kettlebells-626,0B0103B1-FDD,2022-03-28,72,2024-03-27,Active
EQ0051,FAC001,AR001,Kettlebells #13,Free Weights,Precor,Kettlebells-819,BCA68D75-662,2024-03-08,119,2026-03-08,Active
EQ0052,FAC001,AR001,Kettlebells #14,Free Weights,Precor,Kettlebells-799,459E650D-FD2,2022-07-09,88,2023-07-09,Active
EQ0053,FAC001,AR001,Kettlebells #15,Free Weights,Technogym,Kettlebells-228,0FB4AFC5-E13,2021-01-16,56,2024-01-16,Maintenance
EQ0054,FAC001,AR001,Kettlebells #16,Free Weights,TRX,Kettlebells-138,06321DEB-D91,2021-07-02,43,2022-07-02,Active
EQ0055,FAC001,AR001,Kettlebells #17,Free Weights,Bowflex,Kettlebells-504,A6B4A6B1-801,2024-05-29,142,2027-05-29,Active
EQ0056,FAC001,AR001,Kettlebells #18,Free Weights,Schwinn,Kettlebells-375,EACB513C-C6A,2024-10-16,61,2025-10-16,Active
EQ0057,FAC001,AR001,Kettlebells #19,Free Weights,Precor,Kettlebells-583,025EE7AE-8AA,2023-04-09,128,2025-04-08,Active
EQ0058,FAC001,AR001,Kettlebells #20,Free Weights,Life Fitness,Kettlebells-590,6A151CE9-B1C,2023-01-05,95,2024-01-05,Active
EQ0059,FAC001,AR001,Kettlebells #21,Free Weights,TRX,Kettlebells-145,E97CF8F2-469,2024-01-17,123,2027-01-16,Active
EQ0060,FAC001,AR001,Kettlebells #22,Free Weights,Technogym,Kettlebells-453,F715C878-49C,2024-02-13,46,2027-02-12,Active
EQ0061,FAC001,AR001,Kettlebells #23,Free Weights,Schwinn,Kettlebells-314,270EB22A-9B9,2024-01-26,59,2027-01-25,Active
EQ0062,FAC001,AR001,Kettlebells #24,Free Weights,TRX,Kettlebells-904,83ED82AF-9BA,2021-10-23,114,2023-10-23,Active
EQ0063,FAC001,AR001,Medicine Balls #1,Free Weights,Life Fitness,MedicineBalls-679,A2B6E76B-FC5,2022-10-19,34,2023-10-19,Maintenance
EQ0064,FAC001,AR001,Medicine Balls #2,Free Weights,Bowflex,MedicineBalls-202,067945B4-32C,2022-06-05,56,2024-06-04,Active
EQ0065,FAC001,AR001,Medicine Balls #3,Free Weights,Cybex,MedicineBalls-982,1AA2FC01-28C,2023-05-17,37,2025-05-16,Active
EQ0066,FAC001,AR001,Medicine Balls #4,Free Weights,Cybex,MedicineBalls-168,439C519D-9C9,2022-05-09,100,2025-05-08,Active
EQ0067,FAC001,AR001,Medicine Balls #5,Free Weights,TRX,MedicineBalls-467,4AD602FD-A87,2020-12-19,47,2023-12-19,Maintenance
EQ0068,FAC001,AR001,Medicine Balls #6,Free Weights,StairMaster,MedicineBalls-796,355487AA-1EC,2025-01-04,55,2027-01-04,Active
EQ0069,FAC001,AR001,Medicine Balls #7,Free Weights,Bowflex,MedicineBalls-217,12D71861-C30,2024-08-11,100,2025-08-11,Active
EQ0070,FAC001,AR001,Medicine Balls #8,Free Weights,Bowflex,MedicineBalls-135,06630671-E6A,2025-09-20,67,2027-09-20,Maintenance
EQ0071,FAC001,AR001,Medicine Balls #9,Free Weights,TRX,MedicineBalls-662,C1075D57-EB3,2023-04-11,25,2024-04-10,Maintenance
EQ0072,FAC001,AR001,Medicine Balls #10,Free Weights,Schwinn,MedicineBalls-733,02354F25-D7B,2021-01-09,54,2024-01-09,Active
EQ0073,FAC001,AR001,Resistance Bands #1,Free Weights,Schwinn,ResistanceBands-518,C20C52CE-2C9,2020-12-24,27,2022-12-24,Active
EQ0074,FAC001,AR001,Resistance Bands #2,Free Weights,Matrix,ResistanceBands-850,0A7E0A4A-FFE,2023-10-21,34,2026-10-20,Maintenance
EQ0075,FAC001,AR001,Resistance Bands #3,Free Weights,Precor,ResistanceBands-917,DD53730C-6B2,2022-04-29,21,2024-04-28,Active
EQ0076,FAC001,AR001,Resistance Bands #4,Free Weights,Precor,ResistanceBands-842,BCE99907-4FF,2025-06-01,33,2026-06-01,Out of Service
EQ0077,FAC001,AR001,Resistance Bands #5,Free Weights,Technogym,ResistanceBands-516,51882B02-D8D,2020-11-30,43,2021-11-30,Active
EQ0078,FAC001,AR001,Resistance Bands #6,Free Weights,Schwinn,ResistanceBands-556,96E27BA5-6C7,2024-01-29,50,2026-01-28,Active
EQ0079,FAC001,AR001,Resistance Bands #7,Free Weights,Precor,ResistanceBands-985,97936340-B4F,2025-01-07,19,2028-01-07,Maintenance
EQ0080,FAC001,AR001,Resistance Bands #8,Free Weights,Bowflex,ResistanceBands-814,80C2665A-29A,2024-09-12,27,2027-09-12,Active
EQ0081,FAC001,AR001,Resistance Bands #9,Free Weights,Schwinn,ResistanceBands-795,6D91E5E4-350,2023-09-25,21,2025-09-24,Active
EQ0082,FAC001,AR001,Resistance Bands #10,Free Weights,Matrix,ResistanceBands-571,205F6345-F4F,2024-09-16,13,2026-09-16,Active
EQ0083,FAC001,AR001,Resistance Bands #11,Free Weights,Life Fitness,ResistanceBands-721,6CB9E790-218,2023-10-26,26,2025-10-25,Maintenance
EQ0084,FAC001,AR001,Resistance Bands #12,Free Weights,Schwinn,ResistanceBands-902,55295F75-FCD,2021-04-17,12,2022-04-17,Active
EQ0085,FAC001,AR001,Resistance Bands #13,Free Weights,StairMaster,ResistanceBands-203,2ED7168C-694,2025-06-14,21,2028-06-13,Active
EQ0086,FAC001,AR001,Resistance Bands #14,Free Weights,Matrix,ResistanceBands-938,C9920953-A94,2023-01-28,35,2026-01-27,Active
EQ0087,FAC001,AR001,Resistance Bands #15,Free Weights,Precor,ResistanceBands-688,C84D7938-724,2021-03-15,25,2023-03-15,Active
EQ0088,FAC001,AR001,Resistance Bands #16,Free Weights,Precor,ResistanceBands-169,847684F6-899,2025-03-28,25,2026-03-28,Active
EQ0089,FAC001,AR001,Resistance Bands #17,Free Weights,Schwinn,ResistanceBands-874,D657628B-F15,2022-08-12,31,2023-08-12,Active
EQ0090,FAC001,AR001,Resistance Bands #18,Free Weights,Technogym,ResistanceBands-924,C5D3798F-AF2,2022-07-22,26,2024-07-21,Active
EQ0091,FAC001,AR001,Resistance Bands #19,Free Weights,Matrix,ResistanceBands-458,E0DF8504-277,2024-09-19,28,2027-09-19,Active
EQ0092,FAC001,AR001,Resistance Bands #20,Free Weights,Precor,ResistanceBands-212,453ABB7B-BD1,2024-12-14,41,2026-12-14,Active
EQ0093,FAC001,AR001,Resistance Bands #21,Free Weights,TRX,ResistanceBands-393,9FF214A6-20E,2025-03-22,46,2028-03-21,Maintenance
EQ0094,FAC001,AR001,Resistance Bands #22,Free Weights,Technogym,ResistanceBands-355,2D72C520-E97,2021-10-28,33,2022-10-28,Active
EQ0095,FAC001,AR001,Resistance Bands #23,Free Weights,Bowflex,ResistanceBands-655,E6E02F6B-996,2022-10-31,10,2023-10-31,Active
EQ0096,FAC001,AR001,Resistance Bands #24,Free Weights,Bowflex,ResistanceBands-752,FF17E844-1E2,2023-07-20,47,2026-07-19,Active
EQ0097,FAC001,AR001,Resistance Bands #25,Free Weights,Bowflex,ResistanceBands-470,27272588-491,2021-05-06,32,2022-05-06,Active
EQ0098,FAC001,AR001,Resistance Bands #26,Free Weights,StairMaster,ResistanceBands-986,6144AC34-E3C,2022-05-18,45,2024-05-17,Active
EQ0099,FAC001,AR001,Resistance Bands #27,Free Weights,Schwinn,ResistanceBands-614,53B5B4F6-D34,2023-10-31,21,2026-10-30,Active
EQ0100,FAC001,AR001,Resistance Bands #28,Free Weights,Cybex,ResistanceBands-481,D15275A7-790,2022-01-31,41,2025-01-30,Active
EQ0101,FAC001,AR001,Resistance Bands #29,Free Weights,TRX,ResistanceBands-455,4141FBDA-322,2021-06-27,48,2022-06-27,Active
EQ0102,FAC001,AR001,Resistance Bands #30,Free Weights,Life Fitness,ResistanceBands-487,F2555EB8-94A,2021-04-13,17,2024-04-12,Out of Service
EQ0103,FAC001,AR001,Resistance Bands #31,Free Weights,Bowflex,ResistanceBands-530,C3649576-992,2023-06-12,19,2026-06-11,Active
EQ0104,FAC001,AR001,Resistance Bands #32,Free Weights,NordicTrack,ResistanceBands-526,28525AA3-122,2021-09-02,16,2022-09-02,Maintenance
EQ0105,FAC001,AR001,Resistance Bands #33,Free Weights,Bowflex,ResistanceBands-564,E71DA664-001,2022-05-04,29,2025-05-03,Active
EQ0106,FAC001,AR001,Resistance Bands #34,Free Weights,StairMaster,ResistanceBands-982,B8FE8EC9-D20,2021-03-23,10,2024-03-22,Active
EQ0107,FAC001,AR001,Resistance Bands #35,Free Weights,TRX,ResistanceBands-677,B10E4D82-540,2021-05-25,37,2023-05-25,Active
EQ0108,FAC001,AR001,Resistance Bands #36,Free Weights,Technogym,ResistanceBands-906,29EFEB6F-054,2022-11-11,11,2025-11-10,Active
EQ0109,FAC001,AR001,Resistance Bands #37,Free Weights,Bowflex,ResistanceBands-693,455E68B6-6EA,2025-01-01,20,2027-01-01,Active
EQ0110,FAC001,AR001,Resistance Bands #38,Free Weights,Precor,ResistanceBands-676,C1EB97FB-2DC,2024-05-15,44,2026-05-15,Maintenance
EQ0111,FAC001,AR002,Treadmill #1,Cardio,Life Fitness,Treadmill-307,BECCE6A8-D78,2022-03-29,7285,2024-03-28,Active
EQ0112,FAC001,AR002,Treadmill #2,Cardio,StairMaster,Treadmill-634,E62D1959-4A3,2023-06-24,4349,2025-06-23,Active
EQ0113,FAC001,AR002,Treadmill #3,Cardio,Bowflex,Treadmill-804,85B6A6BF-E46,2023-01-05,4376,2024-01-05,Active
EQ0114,FAC001,AR002,Treadmill #4,Cardio,Matrix,Treadmill-485,BF71113C-5CC,2021-11-17,4905,2024-11-16,Active
EQ0115,FAC001,AR002,Treadmill #5,Cardio,Technogym,Treadmill-866,F99B9684-F9A,2023-09-03,3980,2024-09-02,Active
EQ0116,FAC001,AR002,Treadmill #6,Cardio,Matrix,Treadmill-462,01314ED1-633,2022-02-28,6972,2023-02-28,Active
EQ0117,FAC001,AR002,Treadmill #7,Cardio,Schwinn,Treadmill-401,1D53E0C1-D6D,2021-10-09,5532,2024-10-08,Active
EQ0118,FAC001,AR002,Treadmill #8,Cardio,Precor,Treadmill-415,9108D4C1-D73,2025-01-13,3519,2027-01-13,Active
EQ0119,FAC001,AR002,Treadmill #9,Cardio,Technogym,Treadmill-228,5CCDE39C-2F3,2021-09-16,3567,2023-09-16,Maintenance
EQ0120,FAC001,AR002,Treadmill #10,Cardio,Bowflex,Treadmill-421,E58B0979-449,2022-12-25,6242,2023-12-25,Active
EQ0121,FAC001,AR002,Treadmill #11,Cardio,Life Fitness,Treadmill-515,B7F4D7AB-834,2025-03-07,6214,2027-03-07,Active
EQ0122,FAC001,AR002,Elliptical #1,Cardio,Bowflex,Elliptical-173,A8E85BA1-561,2021-01-31,3884,2024-01-31,Active
EQ0123,FAC001,AR002,Elliptical #2,Cardio,Precor,Elliptical-154,F8C9E6EC-BEC,2022-09-05,2505,2023-09-05,Active
EQ0124,FAC001,AR002,Elliptical #3,Cardio,Technogym,Elliptical-890,C659B2E7-0F2,2024-01-30,3405,2027-01-29,Active
EQ0125,FAC001,AR002,Elliptical #4,Cardio,Precor,Elliptical-442,05F28D32-3A5,2024-02-27,2584,2025-02-26,Active
EQ0126,FAC001,AR002,Elliptical #5,Cardio,TRX,Elliptical-270,F4101522-A3D,2022-03-15,4461,2023-03-15,Active
EQ0127,FAC001,AR002,Elliptical #6,Cardio,Bowflex,Elliptical-166,0DB02F9B-C8F,2022-06-18,4965,2024-06-17,Maintenance
EQ0128,FAC001,AR002,Elliptical #7,Cardio,Matrix,Elliptical-582,4277B332-C98,2023-11-29,2811,2026-11-28,Active
EQ0129,FAC001,AR002,Elliptical #8,Cardio,Precor,Elliptical-275,24763951-3CC,2024-01-28,5772,2025-01-27,Active
EQ0130,FAC001,AR002,Stationary Bike #1,Cardio,Life Fitness,StationaryBike-593,1B6CB8E0-0D0,2024-11-14,3221,2026-11-14,Active
EQ0131,FAC001,AR002,Stationary Bike #2,Cardio,Precor,StationaryBike-294,D98ACA9D-B0E,2021-08-17,1990,2023-08-17,Active
EQ0132,FAC001,AR002,Stationary Bike #3,Cardio,Schwinn,StationaryBike-211,391BFC74-90C,2021-01-04,2471,2023-01-04,Active
EQ0133,FAC001,AR002,Stationary Bike #4,Cardio,Matrix,StationaryBike-349,68D38857-2B6,2024-08-13,3550,2025-08-13,Active
EQ0134,FAC001,AR002,Stationary Bike #5,Cardio,Matrix,StationaryBike-361,22146231-0E6,2021-09-21,2700,2022-09-21,Active
EQ0135,FAC001,AR002,Stationary Bike #6,Cardio,Bowflex,StationaryBike-284,8CDCB691-9EC,2023-02-10,2326,2026-02-09,Active
EQ0136,FAC001,AR002,Stationary Bike #7,Cardio,NordicTrack,StationaryBike-469,D976476B-CB3,2025-03-18,3230,2028-03-17,Active
EQ0137,FAC001,AR002,Stationary Bike #8,Cardio,Matrix,StationaryBike-606,59E588F0-B8D,2023-05-13,2509,2025-05-12,Active
EQ0138,FAC001,AR002,Rowing Machine #1,Cardio,Bowflex,RowingMachine-310,F256CD1B-29C,2025-01-30,1098,2026-01-30,Active
EQ0139,FAC001,AR002,Rowing Machine #2,Cardio,Life Fitness,RowingMachine-280,CB7C8348-9D7,2023-07-19,1285,2024-07-18,Active
EQ0140,FAC001,AR002,Rowing Machine #3,Cardio,Matrix,RowingMachine-134,B21DCA7C-C81,2022-05-02,900,2025-05-01,Maintenance
EQ0141,FAC001,AR002,StairMaster #1,Cardio,Precor,StairMaster-655,6DE64242-77B,2022-05-15,3305,2025-05-14,Active
EQ0142,FAC001,AR002,StairMaster #2,Cardio,Matrix,StairMaster-333,C9884EBF-5D9,2022-05-19,3738,2025-05-18,Active
EQ0143,FAC001,AR002,StairMaster #3,Cardio,Matrix,StairMaster-386,84C0AEFF-361,2025-01-19,4509,2026-01-19,Maintenance
EQ0144,FAC001,AR003,Bench Press #1,Strength,Bowflex,BenchPress-459,860936EF-494,2021-03-26,1483,2022-03-26,Active
EQ0145,FAC001,AR003,Bench Press #2,Strength,TRX,BenchPress-866,04684917-4A5,2025-04-19,1512,2028-04-18,Active
EQ0146,FAC001,AR003,Bench Press #3,Strength,StairMaster,BenchPress-624,18546BB4-950,2020-10-19,2253,2023-10-19,Maintenance
EQ0147,FAC001,AR003,Bench Press #4,Strength,Cybex,BenchPress-520,2F5E07FD-8F4,2021-10-07,1439,2023-10-07,Active
EQ0148,FAC001,AR003,Bench Press #5,Strength,Technogym,BenchPress-895,A81AB748-0DB,2022-03-20,2490,2025-03-19,Active
EQ0149,FAC001,AR003,Squat Rack #1,Strength,Technogym,SquatRack-740,2D772DB2-901,2025-07-21,3258,2028-07-20,Active
EQ0150,FAC001,AR003,Squat Rack #2,Strength,Cybex,SquatRack-142,98566EC4-578,2025-03-04,3274,2027-03-04,Active
EQ0151,FAC001,AR003,Cable Machine #1,Strength,Technogym,CableMachine-523,58EE6A88-F1C,2020-12-02,4043,2022-12-02,Active
EQ0152,FAC001,AR003,Cable Machine #2,Strength,StairMaster,CableMachine-742,8C098727-883,2025-01-29,4877,2027-01-29,Active
EQ0153,FAC001,AR003,Cable Machine #3,Strength,Schwinn,CableMachine-292,2D4607ED-9D5,2022-11-30,6439,2024-11-29,Active
EQ0154,FAC001,AR003,Cable Machine #4,Strength,Schwinn,CableMachine-392,82019F57-F60,2024-05-28,6812,2027-05-28,Active
EQ0155,FAC001,AR003,Cable Machine #5,Strength,Life Fitness,CableMachine-308,4FC77BEB-6EF,2024-09-02,4108,2027-09-02,Maintenance
EQ0156,FAC001,AR003,Cable Machine #6,Strength,NordicTrack,CableMachine-865,104EC280-F14,2025-09-10,3039,2028-09-09,Active
EQ0157,FAC001,AR003,Cable Machine #7,Strength,StairMaster,CableMachine-332,0CB37533-93E,2024-03-12,5578,2027-03-12,Active
EQ0158,FAC001,AR003,Cable Machine #8,Strength,Matrix,CableMachine-974,8EC084C9-6D3,2024-01-23,4039,2027-01-22,Active
EQ0159,FAC001,AR003,Leg Press #1,Strength,Cybex,LegPress-902,4CE3C453-E5E,2021-05-28,7901,2024-05-27,Active
EQ0160,FAC001,AR003,Leg Press #2,Strength,Technogym,LegPress-356,8830CD2A-412,2021-07-08,5766,2023-07-08,Active
EQ0161,FAC001,AR003,Leg Press #3,Strength,TRX,LegPress-425,44D6268F-7D8,2020-11-23,4695,2021-11-23,Active
EQ0162,FAC001,AR003,Smith Machine #1,Strength,Bowflex,SmithMachine-795,3D89D3E6-E81,2024-11-27,5381,2025-11-27,Active
EQ0163,FAC001,AR003,Smith Machine #2,Strength,Life Fitness,SmithMachine-441,5FF00A8D-FE9,2020-12-24,3777,2023-12-24,Active
EQ0164,FAC001,AR007,Sound System #1,Studio Equipment,Precor,SoundSystem-506,9E4331D1-F9C,2025-01-20,1943,2026-01-20,Active
EQ0165,FAC001,AR007,Mirrors #1,Studio Equipment,TRX,Mirrors-207,1C5ACDF6-F0B,2025-04-12,356,2028-04-11,Active
EQ0166,FAC001,AR007,Mirrors #2,Studio Equipment,Schwinn,Mirrors-961,73F07080-DD6,2023-10-12,483,2026-10-11,Maintenance
EQ0167,FAC001,AR007,Mirrors #3,Studio Equipment,Life Fitness,Mirrors-946,CA360023-B2F,2021-12-03,516,2023-12-03,Active
EQ0168,FAC001,AR007,Mirrors #4,Studio Equipment,StairMaster,Mirrors-818,2EF68868-EE9,2023-10-04,359,2024-10-03,Active
EQ0169,FAC001,AR007,Yoga Mats #1,Studio Equipment,Cybex,YogaMats-608,5E4E47F2-4BC,2021-09-18,49,2022-09-18,Active
EQ0170,FAC001,AR007,Yoga Mats #2,Studio Equipment,Technogym,YogaMats-777,5AB1C2FF-15B,2021-12-01,20,2023-12-01,Out of Service
EQ0171,FAC001,AR007,Yoga Mats #3,Studio Equipment,Life Fitness,YogaMats-708,484E4FAB-2C3,2024-09-24,31,2026-09-24,Active
EQ0172,FAC001,AR007,Yoga Mats #4,Studio Equipment,Technogym,YogaMats-864,B8F0770B-788,2024-03-07,46,2027-03-07,Active
EQ0173,FAC001,AR007,Yoga Mats #5,Studio Equipment,Precor,YogaMats-433,5BE33F70-7A2,2021-02-01,16,2024-02-01,Active
EQ0174,FAC001,AR007,Yoga Mats #6,Studio Equipment,Bowflex,YogaMats-184,AF8B42D2-8BF,2022-02-21,20,2023-02-21,Active
EQ0175,FAC001,AR007,Yoga Mats #7,Studio Equipment,Technogym,YogaMats-658,C4E6D7F9-EBB,2025-08-11,41,2026-08-11,Maintenance
EQ0176,FAC001,AR007,Yoga Mats #8,Studio Equipment,Technogym,YogaMats-779,5F6E7896-9FA,2022-01-11,41,2024-01-11,Active
EQ0177,FAC001,AR007,Yoga Mats #9,Studio Equipment,TRX,YogaMats-789,D613C305-D24,2023-05-22,32,2025-05-21,Active
EQ0178,FAC001,AR007,Yoga Mats #10,Studio Equipment,Schwinn,YogaMats-949,412E9D2C-E15,2022-02-10,46,2024-02-10,Maintenance
EQ0179,FAC001,AR007,Yoga Mats #11,Studio Equipment,Life Fitness,YogaMats-834,C285EC0E-7FB,2025-01-04,35,2027-01-04,Active
EQ0180,FAC001,AR007,Yoga Mats #12,Studio Equipment,Schwinn,YogaMats-865,2F872603-78B,2025-06-15,50,2027-06-15,Active
EQ0181,FAC001,AR007,Yoga Mats #13,Studio Equipment,Technogym,YogaMats-302,362CD848-F85,2024-07-07,33,2026-07-07,Active
EQ0182,FAC001,AR007,Yoga Mats #14,Studio Equipment,Precor,YogaMats-415,2E7CEFB6-7C3,2022-05-08,50,2025-05-07,Active
EQ0183,FAC001,AR007,Yoga Mats #15,Studio Equipment,StairMaster,YogaMats-750,FB292558-EFA,2021-04-29,15,2024-04-28,Active
EQ0184,FAC001,AR007,Yoga Mats #16,Studio Equipment,Precor,YogaMats-547,A82733B0-798,2025-02-23,21,2027-02-23,Active
EQ0185,FAC001,AR007,Yoga Mats #17,Studio Equipment,TRX,YogaMats-934,9CC8A1E7-681,2022-02-03,42,2024-02-03,Active
EQ0186,FAC001,AR007,Yoga Mats #18,Studio Equipment,Matrix,YogaMats-622,B23F222B-E62,2025-09-10,31,2027-09-10,Active
EQ0187,FAC001,AR007,Yoga Mats #19,Studio Equipment,NordicTrack,YogaMats-541,67702D3B-836,2021-09-25,40,2024-09-24,Active
