enrollment_id,member_id,class_type_id,instructor_id,facility_id,area_id,enrollment_date,class_date,scheduled_start_time,actual_start_time,scheduled_end_time,actual_end_time,enrollment_status,checkin_time,checkout_time,attendance_status,payment_amount,instructor_rating,member_satisfaction_score,last_modified
ENR00000032,MEM000469,CT009,STF0024,FAC001,AR002,2025-08-10,2025-08-13,09:30:00,09:34:00,10:30:00,10:34:00,Confirmed,09:17:00,10:34:00,Present,34.2117349087425,3.0,3.0,2025-10-12
ENR00000033,MEM000441,CT009,STF0024,FAC001,AR002,2025-08-07,2025-08-13,09:30:00,09:31:00,10:30:00,10:31:00,Confirmed,09:21:00,10:31:00,Present,26.400553379256284,3.0,5.0,2025-10-12
ENR00000034,MEM000284,CT009,STF0024,FAC001,AR002,2025-08-07,2025-08-13,09:30:00,09:36:00,10:30:00,10:36:00,Confirmed,09:29:00,10:36:00,Present,32.656480387464526,3.0,3.0,2025-10-12
ENR00000035,MEM000083,CT009,STF0024,FAC001,AR002,2025-08-08,2025-08-13,09:30:00,09:30:00,10:30:00,10:30:00,Confirmed,09:29:00,10:30:00,Present,33.049699413054434,5.0,4.0,2025-10-12
ENR00000036,MEM000036,CT009,STF0024,FAC001,AR002,2025-08-09,2025-08-13,09:30:00,09:38:00,10:30:00,10:38:00,Confirmed,09:25:00,10:38:00,Present,26.26289405608568,3.0,4.0,2025-10-12
ENR00000037,MEM000272,CT009,STF0024,FAC001,AR002,2025-08-13,2025-08-13,09:30:00,09:39:00,10:30:00,10:39:00,Confirmed,09:29:00,10:39:00,Present,15.00391255711217,3.0,4.0,2025-10-12
ENR00000038,MEM000080,CT009,STF0024,FAC001,AR002,2025-08-13,2025-08-13,09:30:00,09:34:00,10:30:00,10:34:00,Confirmed,09:15:00,10:34:00,Present,34.687888506336016,3.0,4.0,2025-10-12
ENR00000039,MEM000231,CT009,STF0024,FAC001,AR002,2025-08-11,2025-08-13,09:30:00,09:33:00,10:30:00,10:33:00,Confirmed,09:19:00,10:33:00,Present,15.754726001675397,4.0,3.0,2025-10-12
ENR00000040,MEM000152,CT009,STF0024,FAC001,AR002,2025-08-07,2025-08-13,09:30:00,09:32:00,10:30:00,10:32:00,Confirmed,09:22:00,10:32:00,Present,31.221484735653167,3.0,5.0,2025-10-12
ENR00000041,MEM000420,CT009,STF0024,FAC001,AR002,2025-08-12,2025-08-13,09:30:00,09:31:00,10:30:00,10:31:00,Confirmed,09:17:00,10:31:00,Present,30.8580838862856,3.0,4.0,2025-10-12
ENR00000042,MEM000135,CT009,STF0024,FAC001,AR002,2025-08-08,2025-08-13,09:30:00,09:34:00,10:30:00,10:34:00,Confirmed,09:16:00,10:34:00,Present,16.569547918457076,3.0,4.0,2025-10-12
ENR00000043,MEM000278,CT009,STF0024,FAC001,AR002,2025-08-12,2025-08-13,09:30:00,09:30:00,10:30:00,,Confirmed,,,No Show,33.60492167887555,,,2025-10-12
ENR00000044,MEM000290,CT007,STF0003,FAC002,AR005,2025-08-11,2025-08-13,11:00:00,11:07:00,11:30:00,11:37:00,Confirmed,10:59:00,11:37:00,Present,19.441712563028286,4.0,4.0,2025-10-12
ENR00000045,MEM000077,CT007,STF0003,FAC002,AR005,2025-08-07,2025-08-13,11:00:00,10:57:00,11:30:00,11:27:00,Confirmed,11:00:00,11:27:00,Present,25.96304810035099,4.0,3.0,2025-10-12
ENR00000046,MEM000168,CT007,STF0003,FAC002,AR005,2025-08-10,2025-08-13,11:00:00,10:59:00,11:30:00,11:29:00,Confirmed,10:49:00,11:29:00,Present,26.185923546270807,4.0,4.0,2025-10-12
ENR00000047,MEM000258,CT007,STF0003,FAC002,AR005,2025-08-12,2025-08-13,11:00:00,11:02:00,11:30:00,11:32:00,Confirmed,10:52:00,11:32:00,Present,20.325141813870054,4.0,4.0,2025-10-12
ENR00000048,MEM000358,CT007,STF0003,FAC002,AR005,2025-08-13,2025-08-13,11:00:00,11:08:00,11:30:00,11:38:00,Confirmed,10:58:00,11:38:00,Present,21.966157136930487,4.0,4.0,2025-10-12
ENR00000049,MEM000114,CT007,STF0003,FAC002,AR005,2025-08-10,2025-08-13,11:00:00,11:00:00,11:30:00,11:30:00,Confirmed,10:56:00,11:30:00,Present,27.463643125566612,4.0,3.0,2025-10-12
ENR00000050,MEM000079,CT007,STF0003,FAC002,AR005,2025-08-11,2025-08-13,11:00:00,11:06:00,11:30:00,11:36:00,Confirmed,10:49:00,11:36:00,Present,17.247434815702086,3.0,3.0,2025-10-12
ENR00000051,MEM000242,CT001,STF0017,FAC003,AR015,2025-08-07,2025-08-13,16:30:00,16:33:00,17:30:00,17:33:00,Confirmed,16:30:00,17:33:00,Present,28.901422872953894,5.0,3.0,2025-10-12
ENR00000052,MEM000012,CT001,STF0017,FAC003,AR015,2025-08-09,2025-08-13,16:30:00,16:26:00,17:30:00,17:26:00,Confirmed,16:23:00,17:26:00,Present,16.20220099151336,3.0,5.0,2025-10-12
ENR00000053,MEM000170,CT001,STF0017,FAC003,AR015,2025-08-08,2025-08-13,16:30:00,16:25:00,17:30:00,17:25:00,Confirmed,16:17:00,17:25:00,Present,28.207456509964224,5.0,5.0,2025-10-12
ENR00000054,MEM000108,CT001,STF0017,FAC003,AR015,2025-08-07,2025-08-13,16:30:00,16:30:00,17:30:00,,Confirmed,,,No Show,32.348208857089624,,,2025-10-12
ENR00000055,MEM000379,CT001,STF0017,FAC003,AR015,2025-08-12,2025-08-13,16:30:00,16:37:00,17:30:00,17:37:00,Confirmed,16:18:00,17:37:00,Present,24.693243036683313,5.0,5.0,2025-10-12
ENR00000056,MEM000276,CT001,STF0017,FAC003,AR015,2025-08-08,2025-08-13,16:30:00,16:39:00,17:30:00,17:39:00,Confirmed,16:15:00,17:39:00,Present,19.947842794995026,5.0,4.0,2025-10-12
ENR00000057,MEM000109,CT001,STF0017,FAC003,AR015,2025-08-09,2025-08-13,16:30:00,16:30:00,17:30:00,17:30:00,Confirmed,16:15:00,17:30:00,Present,28.68622710584299,4.0,5.0,2025-10-12
ENR00000058,MEM000105,CT001,STF0017,FAC003,AR015,2025-08-09,2025-08-13,16:30:00,16:33:00,17:30:00,17:33:00,Confirmed,16:16:00,17:33:00,Present,32.57354548382321,3.0,5.0,2025-10-12
ENR00000059,MEM000280,CT001,STF0017,FAC003,AR015,2025-08-10,2025-08-13,16:30:00,16:35:00,17:30:00,17:35:00,Confirmed,16:27:00,17:35:00,Present,16.755900342746028,4.0,5.0,2025-10-12
ENR00000060,MEM000071,CT010,STF0017,FAC002,AR005,2025-08-11,2025-08-13,20:30:00,20:30:00,21:15:00,,Confirmed,,,No Show,29.102727755702013,,,2025-10-12
ENR00000061,MEM000298,CT010,STF0017,FAC002,AR005,2025-08-12,2025-08-13,20:30:00,20:29:00,21:15:00,21:14:00,Confirmed,20:20:00,21:14:00,Present,16.35628082712595,5.0,5.0,2025-10-12
ENR00000062,MEM000278,CT010,STF0017,FAC002,AR005,2025-08-09,2025-08-13,20:30:00,20:29:00,21:15:00,21:14:00,Confirmed,20:15:00,21:14:00,Present,32.60263800217152,4.0,4.0,2025-10-12
ENR00000063,MEM000351,CT010,STF0017,FAC002,AR005,2025-08-09,2025-08-13,20:30:00,20:33:00,21:15:00,21:18:00,Confirmed,20:19:00,21:18:00,Present,17.135428656868022,3.0,3.0,2025-10-12
ENR00000064,MEM000410,CT010,STF0017,FAC002,AR005,2025-08-06,2025-08-13,20:30:00,20:32:00,21:15:00,21:17:00,Confirmed,20:22:00,21:17:00,Present,28.747557703567217,4.0,3.0,2025-10-12
ENR00000065,MEM000104,CT010,STF0017,FAC002,AR005,2025-08-11,2025-08-13,20:30:00,20:40:00,21:15:00,21:25:00,Confirmed,20:26:00,21:25:00,Present,32.0425886493117,4.0,4.0,2025-10-12
ENR00000066,MEM000034,CT005,STF0022,FAC001,AR002,2025-08-13,2025-08-13,09:00:00,09:05:00,09:45:00,09:50:00,Confirmed,08:57:00,09:50:00,Present,25.412981824474976,4.0,4.0,2025-10-12
ENR00000067,MEM000091,CT005,STF0022,FAC001,AR002,2025-08-13,2025-08-13,09:00:00,09:00:00,09:45:00,,Confirmed,,,No Show,25.757382869066475,,,2025-10-12
ENR00000068,MEM000475,CT005,STF0022,FAC001,AR002,2025-08-06,2025-08-13,09:00:00,08:56:00,09:45:00,09:41:00,Confirmed,08:51:00,09:41:00,Present,23.791077494329194,4.0,4.0,2025-10-12
ENR00000069,MEM000489,CT005,STF0022,FAC001,AR002,2025-08-12,2025-08-13,09:00:00,09:04:00,09:45:00,09:49:00,Confirmed,08:46:00,09:49:00,Present,24.271579061432703,5.0,4.0,2025-10-12
ENR00000070,MEM000225,CT005,STF0022,FAC001,AR002,2025-08-13,2025-08-13,09:00:00,08:58:00,09:45:00,09:43:00,Confirmed,08:50:00,09:43:00,Present,22.861334296101226,4.0,4.0,2025-10-12
ENR00000071,MEM000444,CT005,STF0022,FAC001,AR002,2025-08-11,2025-08-13,09:00:00,09:01:00,09:45:00,09:46:00,Confirmed,08:59:00,09:46:00,Present,20.001645881544764,5.0,5.0,2025-10-12
ENR00000072,MEM000316,CT005,STF0022,FAC001,AR002,2025-08-12,2025-08-13,09:00:00,08:58:00,09:45:00,09:43:00,Confirmed,08:47:00,09:43:00,Present,29.12453419706202,5.0,4.0,2025-10-12
ENR00000073,MEM000251,CT005,STF0022,FAC001,AR002,2025-08-08,2025-08-13,09:00:00,09:07:00,09:45:00,09:52:00,Confirmed,08:50:00,09:52:00,Present,26.00691771218285,3.0,3.0,2025-10-12
ENR00000074,MEM000353,CT005,STF0022,FAC001,AR002,2025-08-07,2025-08-13,09:00:00,08:59:00,09:45:00,09:44:00,Confirmed,08:50:00,09:44:00,Present,18.577335293465374,5.0,3.0,2025-10-12
ENR00000075,MEM000167,CT005,STF0022,FAC001,AR002,2025-08-13,2025-08-13,09:00:00,09:09:00,09:45:00,09:54:00,Confirmed,08:54:00,09:54:00,Present,17.351079568049595,3.0,3.0,2025-10-12
ENR00000076,MEM000235,CT005,STF0022,FAC001,AR002,2025-08-13,2025-08-13,09:00:00,09:03:00,09:45:00,09:48:00,Confirmed,08:45:00,09:48:00,Present,24.952552148015954,4.0,5.0,2025-10-12
ENR00000077,MEM000455,CT005,STF0022,FAC001,AR002,2025-08-07,2025-08-13,09:00:00,09:10:00,09:45:00,09:55:00,Confirmed,08:52:00,09:55:00,Present,26.777246543686182,4.0,4.0,2025-10-12
ENR00000078,MEM000127,CT005,STF0022,FAC001,AR002,2025-08-13,2025-08-13,09:00:00,08:55:00,09:45:00,09:40:00,Confirmed,08:52:00,09:40:00,Present,27.395320777391703,5.0,3.0,2025-10-12
ENR00000079,MEM000219,CT005,STF0022,FAC001,AR002,2025-08-09,2025-08-13,09:00:00,08:56:00,09:45:00,09:41:00,Confirmed,08:56:00,09:41:00,Present,17.90748832431872,3.0,5.0,2025-10-12
ENR00000080,MEM000208,CT005,STF0022,FAC001,AR002,2025-08-09,2025-08-13,09:00:00,08:57:00,09:45:00,09:42:00,Confirmed,08:46:00,09:42:00,Present,23.339138477107163,3.0,3.0,2025-10-12
ENR00000081,MEM000398,CT005,STF0022,FAC001,AR002,2025-08-08,2025-08-13,09:00:00,09:00:00,09:45:00,09:45:00,Confirmed,08:59:00,09:45:00,Present,33.62959638772011,3.0,4.0,2025-10-12
ENR00000082,MEM000022,CT005,STF0022,FAC001,AR002,2025-08-06,2025-08-13,09:00:00,09:07:00,09:45:00,09:52:00,Confirmed,08:47:00,09:52:00,Present,31.86619260169135,3.0,4.0,2025-10-12
ENR00000083,MEM000312,CT005,STF0022,FAC001,AR002,2025-08-13,2025-08-13,09:00:00,09:03:00,09:45:00,09:48:00,Confirmed,08:55:00,09:48:00,Present,25.492924185074173,5.0,3.0,2025-10-12
ENR00000084,MEM000377,CT005,STF0022,FAC001,AR002,2025-08-08,2025-08-13,09:00:00,08:57:00,09:45:00,09:42:00,Confirmed,09:00:00,09:42:00,Present,23.54107210171887,4.0,4.0,2025-10-12
ENR00000085,MEM000453,CT009,STF0030,FAC002,AR009,2025-08-09,2025-08-13,14:45:00,14:40:00,15:45:00,15:40:00,Confirmed,14:36:00,15:40:00,Present,20.088350443571134,3.0,4.0,2025-10-12
ENR00000086,MEM000313,CT009,STF0030,FAC002,AR009,2025-08-13,2025-08-13,14:45:00,14:50:00,15:45:00,15:50:00,Confirmed,14:30:00,15:50:00,Present,28.71671577293916,4.0,4.0,2025-10-12
ENR00000087,MEM000120,CT009,STF0030,FAC002,AR009,2025-08-13,2025-08-13,14:45:00,14:46:00,15:45:00,15:46:00,Confirmed,14:40:00,15:46:00,Present,33.44559530503645,4.0,4.0,2025-10-12
ENR00000088,MEM000363,CT009,STF0030,FAC002,AR009,2025-08-06,2025-08-13,14:45:00,14:55:00,15:45:00,15:55:00,Confirmed,14:34:00,15:55:00,Present,32.841166535798365,5.0,4.0,2025-10-12
ENR00000089,MEM000149,CT009,STF0030,FAC002,AR009,2025-08-13,2025-08-13,14:45:00,14:53:00,15:45:00,15:53:00,Confirmed,14:31:00,15:53:00,Present,26.298852819944045,5.0,4.0,2025-10-12
ENR00000090,MEM000100,CT009,STF0030,FAC002,AR009,2025-08-08,2025-08-13,14:45:00,14:50:00,15:45:00,15:50:00,Confirmed,14:41:00,15:50:00,Present,34.39226584871186,4.0,3.0,2025-10-12
ENR00000091,MEM000001,CT009,STF0030,FAC002,AR009,2025-08-07,2025-08-13,14:45:00,14:45:00,15:45:00,,Confirmed,,,No Show,31.84811549871705,,,2025-10-12
ENR00000092,MEM000061,CT009,STF0030,FAC002,AR009,2025-08-12,2025-08-13,14:45:00,14:43:00,15:45:00,15:43:00,Confirmed,14:39:00,15:43:00,Present,29.196800296251208,4.0,4.0,2025-10-12
ENR00000093,MEM000013,CT009,STF0030,FAC002,AR009,2025-08-09,2025-08-13,14:45:00,14:47:00,15:45:00,15:47:00,Confirmed,14:41:00,15:47:00,Present,31.589149378348402,4.0,3.0,2025-10-12
ENR00000094,MEM000239,CT009,STF0030,FAC002,AR009,2025-08-13,2025-08-13,14:45:00,14:51:00,15:45:00,15:51:00,Confirmed,14:31:00,15:51:00,Present,33.26707692334117,4.0,5.0,2025-10-12
ENR00000095,MEM000321,CT009,STF0030,FAC002,AR009,2025-08-09,2025-08-13,14:45:00,14:44:00,15:45:00,15:44:00,Confirmed,14:36:00,15:44:00,Present,33.4727353578019,5.0,5.0,2025-10-12
ENR00000096,MEM000408,CT009,STF0030,FAC002,AR009,2025-08-07,2025-08-13,14:45:00,14:44:00,15:45:00,15:44:00,Confirmed,14:33:00,15:44:00,Present,19.103742200817262,3.0,4.0,2025-10-12
ENR00000097,MEM000378,CT009,STF0030,FAC002,AR009,2025-08-12,2025-08-13,14:45:00,14:43:00,15:45:00,15:43:00,Confirmed,14:30:00,15:43:00,Present,33.646746880416565,5.0,5.0,2025-10-12
ENR00000098,MEM000435,CT009,STF0030,FAC002,AR009,2025-08-10,2025-08-13,14:45:00,14:41:00,15:45:00,15:41:00,Confirmed,14:33:00,15:41:00,Present,15.449605223172878,4.0,5.0,2025-10-12
ENR00000099,MEM000107,CT009,STF0030,FAC002,AR009,2025-08-12,2025-08-13,14:45:00,14:46:00,15:45:00,15:46:00,Confirmed,14:39:00,15:46:00,Present,25.645516115300325,4.0,5.0,2025-10-12
ENR00000100,MEM000410,CT009,STF0030,FAC002,AR009,2025-08-12,2025-08-13,14:45:00,14:45:00,15:45:00,15:45:00,Confirmed,14:38:00,15:45:00,Present,15.305134349807805,5.0,5.0,2025-10-12
ENR00000101,MEM000316,CT009,STF0030,FAC002,AR009,2025-08-10,2025-08-13,14:45:00,14:51:00,15:45:00,15:51:00,Confirmed,14:40:00,15:51:00,Present,17.831136575829657,5.0,4.0,2025-10-12
ENR00000102,MEM000213,CT009,STF0030,FAC002,AR009,2025-08-13,2025-08-13,14:45:00,14:49:00,15:45:00,15:49:00,Confirmed,14:40:00,15:49:00,Present,16.0145236745587,3.0,4.0,2025-10-12
ENR00000103,MEM000212,CT009,STF0030,FAC002,AR009,2025-08-06,2025-08-13,14:45:00,14:41:00,15:45:00,15:41:00,Confirmed,14:32:00,15:41:00,Present,22.8383352129136,5.0,5.0,2025-10-12
ENR00000104,MEM000024,CT009,STF0030,FAC002,AR009,2025-08-12,2025-08-13,14:45:00,14:49:00,15:45:00,15:49:00,Confirmed,14:40:00,15:49:00,Present,29.25797369456329,5.0,5.0,2025-10-12
ENR00000105,MEM000171,CT009,STF0030,FAC002,AR009,2025-08-06,2025-08-13,14:45:00,14:45:00,15:45:00,,Cancelled,,,Cancelled,0.0,,,2025-10-12
ENR00000106,MEM000180,CT009,STF0030,FAC002,AR009,2025-08-06,2025-08-13,14:45:00,14:42:00,15:45:00,15:42:00,Confirmed,14:44:00,15:42:00,Present,24.111683414934824,5.0,5.0,2025-10-12
ENR00000107,MEM000287,CT009,STF0030,FAC002,AR009,2025-08-08,2025-08-13,14:45:00,14:47:00,15:45:00,15:47:00,Confirmed,14:34:00,15:47:00,Present,33.257232213534316,4.0,3.0,2025-10-12
ENR00000108,MEM000413,CT009,STF0030,FAC002,AR009,2025-08-08,2025-08-13,14:45:00,14:50:00,15:45:00,15:50:00,Confirmed,14:44:00,15:50:00,Present,15.605282644236862,4.0,3.0,2025-10-12
ENR00000109,MEM000366,CT010,STF0028,FAC001,AR002,2025-08-06,2025-08-13,19:30:00,19:37:00,20:15:00,20:22:00,Confirmed,19:28:00,20:22:00,Present,27.417496777130822,5.0,3.0,2025-10-12
ENR00000110,MEM000408,CT010,STF0028,FAC001,AR002,2025-08-08,2025-08-13,19:30:00,19:35:00,20:15:00,20:20:00,Confirmed,19:21:00,20:20:00,Present,30.686279532343928,4.0,5.0,2025-10-12
ENR00000111,MEM000055,CT010,STF0028,FAC001,AR002,2025-08-06,2025-08-13,19:30:00,19:32:00,20:15:00,20:17:00,Confirmed,19:20:00,20:17:00,Present,29.78734089894045,5.0,5.0,2025-10-12
ENR00000112,MEM000167,CT010,STF0028,FAC001,AR002,2025-08-07,2025-08-13,19:30:00,19:39:00,20:15:00,20:24:00,Confirmed,19:25:00,20:24:00,Present,31.440461046280895,3.0,4.0,2025-10-12
ENR00000113,MEM000285,CT010,STF0028,FAC001,AR002,2025-08-12,2025-08-13,19:30:00,19:28:00,20:15:00,20:13:00,Confirmed,19:27:00,20:13:00,Present,24.88590294793086,5.0,3.0,2025-10-12
ENR00000114,MEM000333,CT010,STF0028,FAC001,AR002,2025-08-09,2025-08-13,19:30:00,19:29:00,20:15:00,20:14:00,Confirmed,19:15:00,20:14:00,Present,28.217627875390114,4.0,5.0,2025-10-12
ENR00000115,MEM000037,CT010,STF0028,FAC001,AR002,2025-08-09,2025-08-13,19:30:00,19:39:00,20:15:00,20:24:00,Confirmed,19:21:00,20:24:00,Present,28.630335759732922,4.0,4.0,2025-10-12
ENR00000116,MEM000406,CT010,STF0028,FAC001,AR002,2025-08-08,2025-08-13,19:30:00,19:30:00,20:15:00,,Cancelled,,,Cancelled,0.0,,,2025-10-12
ENR00000117,MEM000155,CT010,STF0028,FAC001,AR002,2025-08-07,2025-08-13,19:30:00,19:30:00,20:15:00,,Confirmed,,,No Show,27.22981512344206,,,2025-10-12
ENR00000118,MEM000287,CT001,STF0018,FAC003,AR015,2025-08-07,2025-08-13,16:30:00,16:30:00,17:30:00,,Confirmed,,,No Show,29.044437645400148,,,2025-10-12
ENR00000119,MEM000421,CT001,STF0018,FAC003,AR015,2025-08-11,2025-08-13,16:30:00,16:37:00,17:30:00,17:37:00,Confirmed,16:27:00,17:37:00,Present,23.70380096809846,3.0,5.0,2025-10-12
ENR00000120,MEM000184,CT001,STF0018,FAC003,AR015,2025-08-11,2025-08-13,16:30:00,16:31:00,17:30:00,17:31:00,Confirmed,16:27:00,17:31:00,Present,31.799253734534307,3.0,4.0,2025-10-12
ENR00000121,MEM000057,CT001,STF0018,FAC003,AR015,2025-08-07,2025-08-13,16:30:00,16:27:00,17:30:00,17:27:00,Confirmed,16:15:00,17:27:00,Present,29.426784647239547,4.0,5.0,2025-10-12
ENR00000122,MEM000441,CT001,STF0018,FAC003,AR015,2025-08-07,2025-08-13,16:30:00,16:30:00,17:30:00,,Confirmed,,,No Show,17.74440536532445,,,2025-10-12
ENR00000123,MEM000145,CT001,STF0018,FAC003,AR015,2025-08-07,2025-08-13,16:30:00,16:30:00,17:30:00,,Cancelled,,,Cancelled,0.0,,,2025-10-12
ENR00000124,MEM000004,CT007,STF0018,FAC001,AR002,2025-08-12,2025-08-13,09:45:00,09:51:00,10:15:00,10:21:00,Confirmed,09:31:00,10:21:00,Present,26.362991554031986,5.0,4.0,2025-10-12
