paymentid,memberid,membershipid,amount,paymentdate,paymentmethod,transactionid,paymenttype,status,processeddate
PAY00000020,MEM000014,MS0000020,229.98,2025-09-14,Bank Transfer,TXN925281387,Membership + Registration,Completed,2025-09-14
PAY00000021,MEM000015,MS0000021,89.98,2025-05-29,Credit Card,TXN269732763,Membership + Registration,Completed,2025-05-29
PAY00000022,MEM000016,MS0000022,58.33,2021-11-29,Debit Card,TXN229669558,Monthly Membership,Completed,2021-11-29
PAY00000023,MEM000016,MS0000022,58.33,2022-03-29,Debit Card,TXN150734502,Monthly Membership,Completed,2022-03-29
PAY00000024,MEM000016,MS0000022,58.33,2022-07-27,Bank Transfer,TXN557341764,Monthly Membership,Completed,2022-07-27
PAY00000025,MEM000016,MS0000023,119.98,2023-01-04,Debit Card,TXN143929713,Membership + Registration,Completed,2023-01-04
PAY00000026,MEM000017,MS0000024,89.98,2020-12-13,Debit Card,TXN957109150,Membership + Registration,Completed,2020-12-13
PAY00000027,MEM000018,MS0000025,58.33,2023-01-28,Credit Card,TXN472519039,Monthly Membership,Completed,2023-01-28
PAY00000028,MEM000018,MS0000025,58.33,2023-07-27,Bank Transfer,TXN229601416,Monthly Membership,Completed,2023-07-27
PAY00000029,MEM000019,MS0000026,119.98,2021-10-02,Credit Card,TXN242079501,Membership + Registration,Completed,2021-10-02
PAY00000030,MEM000020,MS0000027,54.99,2022-08-20,Credit Card,TXN641965517,Monthly Membership,Completed,2022-08-20
PAY00000031,MEM000021,MS0000028,58.33,2024-07-30,Credit Card,TXN460395631,Monthly Membership,Completed,2024-07-30
PAY00000032,MEM000021,MS0000028,58.33,2025-01-26,Credit Card,TXN872036661,Monthly Membership,Completed,2025-01-26
PAY00000033,MEM000022,MS0000029,89.98,2021-01-23,Credit Card,TXN596365202,Membership + Registration,Completed,2021-01-23
PAY00000034,MEM000023,MS0000030,119.98,2023-12-24,Debit Card,TXN692914150,Membership + Registration,Completed,2023-12-24
PAY00000035,MEM000024,MS0000031,89.98,2024-06-15,Credit Card,TXN855831995,Membership + Registration,Completed,2024-06-15
PAY00000036,MEM000024,MS0000032,119.98,2024-08-14,Credit Card,TXN513598012,Membership + Registration,Completed,2024-08-14
PAY00000037,MEM000025,MS0000033,59.99,2023-02-11,Credit Card,TXN169999191,Membership + Registration,Completed,2023-02-11
PAY00000038,MEM000026,MS0000034,58.33,2021-03-26,Credit Card,TXN586616325,Monthly Membership,Completed,2021-03-26
PAY00000039,MEM000027,MS0000035,54.99,2021-01-16,Debit Card,TXN562379278,Monthly Membership,Completed,2021-01-16
PAY00000040,MEM000027,MS0000036,89.98,2021-03-03,Credit Card,TXN814265869,Membership + Registration,Completed,2021-03-03
PAY00000041,MEM000028,MS0000037,89.98,2025-05-22,Debit Card,TXN908364408,Membership + Registration,Completed,2025-05-22
PAY00000042,MEM000028,MS0000038,119.98,2025-07-23,Bank Transfer,TXN746047516,Membership + Registration,Completed,2025-07-23
PAY00000043,MEM000028,MS0000039,58.33,2025-10-14,Debit Card,TXN748712438,Monthly Membership,Completed,2025-10-14
PAY00000044,MEM000028,MS0000039,58.33,2026-04-12,Debit Card,TXN371478173,Monthly Membership,Completed,2026-04-12
PAY00000045,MEM000029,MS0000040,59.99,2020-11-11,Debit Card,TXN661611450,Membership + Registration,Completed,2020-11-11
PAY00000046,MEM000029,MS0000041,89.98,2021-02-01,Credit Card,TXN535362553,Membership + Registration,Completed,2021-02-01
PAY00000047,MEM000030,MS0000042,59.99,2023-03-01,Credit Card,TXN759045113,Membership + Registration,Completed,2023-03-01
PAY00000048,MEM000031,MS0000043,58.33,2024-12-27,Credit Card,TXN139269472,Monthly Membership,Completed,2024-12-27
PAY00000049,MEM000032,MS0000044,54.99,2021-06-01,Debit Card,TXN841895778,Membership + Registration,Completed,2021-06-01
PAY00000050,MEM000033,MS0000045,89.98,2021-07-10,Credit Card,TXN572735274,Membership + Registration,Completed,2021-07-10
PAY00000051,MEM000034,MS0000046,54.99,2025-05-19,Debit Card,TXN369018994,Membership + Registration,Pending,2025-05-26
PAY00000052,MEM000034,MS0000047,54.99,2025-08-22,Debit Card,TXN244486349,Membership + Registration,Completed,2025-08-22
PAY00000053,MEM000035,MS0000048,58.33,2025-07-02,Bank Transfer,TXN930326737,Monthly Membership,Completed,2025-07-02
PAY00000054,MEM000035,MS0000048,58.33,2025-12-29,Debit Card,TXN280701135,Monthly Membership,Failed,2025-12-29
PAY00000055,MEM000035,MS0000049,229.98,2026-07-22,Credit Card,TXN454947082,Membership + Registration,Completed,2026-07-22
PAY00000056,MEM000036,MS0000050,119.98,2023-03-10,Credit Card,TXN772864888,Membership + Registration,Completed,2023-03-10
PAY00000057,MEM000037,MS0000051,89.98,2021-05-18,Debit Card,TXN175230856,Membership + Registration,Completed,2021-05-18
PAY00000058,MEM000038,MS0000052,89.98,2020-11-18,Cash,TXN848707676,Membership + Registration,Completed,2020-11-18
PAY00000059,MEM000039,MS0000053,229.98,2023-09-22,Credit Card,TXN769795429,Membership + Registration,Completed,2023-09-22
PAY00000060,MEM000039,MS0000054,54.99,2023-11-17,Bank Transfer,TXN348188078,Monthly Membership,Completed,2023-11-17
PAY00000061,MEM000040,MS0000055,229.98,2024-05-07,Credit Card,TXN288193404,Membership + Registration,Completed,2024-05-07
PAY00000062,MEM000041,MS0000056,119.98,2023-03-16,Credit Card,TXN512767370,Membership + Registration,Completed,2023-03-16
PAY00000063,MEM000042,MS0000057,119.98,2021-03-07,Bank Transfer,TXN842589560,Membership + Registration,Completed,2021-03-07
PAY00000064,MEM000042,MS0000058,54.99,2021-04-18,Cash,TXN159583423,Membership + Registration,Completed,2021-04-18
PAY00000065,MEM000043,MS0000059,54.99,2022-03-13,Debit Card,TXN924077492,Monthly Membership,Completed,2022-03-13
PAY00000066,MEM000043,MS0000060,229.98,2022-06-16,Credit Card,TXN403222356,Membership + Registration,Completed,2022-06-16
PAY00000067,MEM000044,MS0000061,119.98,2024-09-16,Credit Card,TXN511603923,Membership + Registration,Refunded,2024-09-22
PAY00000068,MEM000045,MS0000062,89.98,2023-12-01,Debit Card,TXN701539307,Membership + Registration,Completed,2023-12-01
PAY00000069,MEM000046,MS0000063,119.98,2025-08-04,Debit Card,TXN783794955,Membership + Registration,Completed,2025-08-04
PAY00000070,MEM000047,MS0000064,119.98,2022-08-11,Debit Card,TXN885378064,Membership + Registration,Completed,2022-08-11
PAY00000071,MEM000047,MS0000065,89.98,2022-12-01,Credit Card,TXN415627388,Membership + Registration,Completed,2022-12-01
PAY00000072,MEM000048,MS0000066,89.98,2024-10-24,Credit Card,TXN719967049,Membership + Registration,Completed,2024-10-24
PAY00000073,MEM000049,MS0000067,89.98,2023-02-23,Credit Card,TXN289562382,Membership + Registration,Completed,2023-02-23
PAY00000074,MEM000049,MS0000068,89.98,2023-05-14,Cash,TXN380770724,Membership + Registration,Completed,2023-05-14
PAY00000075,MEM000050,MS0000069,119.98,2021-08-01,Check,TXN589349020,Membership + Registration,Completed,2021-08-01
PAY00000076,MEM000050,MS0000070,89.98,2021-10-22,Credit Card,TXN291414152,Membership + Registration,Completed,2021-10-22
PAY00000077,MEM000051,MS0000071,58.33,2022-08-15,Debit Card,TXN682820072,Monthly Membership,Completed,2022-08-15
PAY00000078,MEM000051,MS0000071,58.33,2022-12-13,Credit Card,TXN124641792,Monthly Membership,Completed,2022-12-13
PAY00000079,MEM000051,MS0000071,58.33,2023-04-12,Bank Transfer,TXN835864688,Monthly Membership,Completed,2023-04-12
PAY00000080,MEM000052,MS0000072,89.98,2025-05-25,Bank Transfer,TXN870911271,Membership + Registration,Completed,2025-05-25
PAY00000081,MEM000053,MS0000073,89.98,2025-09-18,Bank Transfer,TXN668650786,Membership + Registration,Completed,2025-09-18
PAY00000082,MEM000054,MS0000074,89.98,2022-01-14,Credit Card,TXN437358057,Membership + Registration,Completed,2022-01-14
PAY00000083,MEM000054,MS0000075,119.98,2022-03-29,Debit Card,TXN622667535,Membership + Registration,Completed,2022-03-29
PAY00000084,MEM000055,MS0000076,54.99,2022-01-21,Credit Card,TXN235553040,Membership + Registration,Completed,2022-01-21
PAY00000085,MEM000055,MS0000077,54.99,2022-05-13,Debit Card,TXN487941848,Membership + Registration,Completed,2022-05-13
PAY00000086,MEM000056,MS0000078,54.99,2025-06-05,Credit Card,TXN302431465,Monthly Membership,Completed,2025-06-05
PAY00000087,MEM000057,MS0000079,89.98,2024-08-04,Debit Card,TXN465533573,Membership + Registration,Completed,2024-08-04
PAY00000088,MEM000057,MS0000080,119.98,2024-10-03,Debit Card,TXN639917778,Membership + Registration,Completed,2024-10-03
PAY00000089,MEM000058,MS0000081,58.33,2022-03-12,Credit Card,TXN844656790,Monthly Membership,Completed,2022-03-12
PAY00000090,MEM000058,MS0000082,229.98,2023-03-11,Debit Card,TXN972945721,Membership + Registration,Completed,2023-03-11
PAY00000091,MEM000059,MS0000083,229.98,2025-05-21,Credit Card,TXN769553920,Membership + Registration,Completed,2025-05-21
PAY00000092,MEM000060,MS0000084,89.98,2021-02-09,Credit Card,TXN268813156,Membership + Registration,Failed,2021-02-10
PAY00000093,MEM000061,MS0000085,119.98,2025-01-08,Debit Card,TXN689317400,Membership + Registration,Completed,2025-01-08
PAY00000094,MEM000062,MS0000086,229.98,2021-07-26,Credit Card,TXN338778478,Membership + Registration,Completed,2021-07-26
PAY00000095,MEM000063,MS0000087,54.99,2023-06-04,Debit Card,TXN566343609,Monthly Membership,Completed,2023-06-04
PAY00000096,MEM000064,MS0000088,58.33,2023-05-03,Credit Card,TXN563619881,Monthly Membership,Completed,2023-05-03
PAY00000097,MEM000064,MS0000088,58.33,2023-08-31,Debit Card,TXN220827626,Monthly Membership,Completed,2023-08-31
PAY00000098,MEM000064,MS0000088,58.33,2023-12-29,Credit Card,TXN751100249,Monthly Membership,Completed,2023-12-29
PAY00000099,MEM000064,MS0000089,119.98,2024-06-21,Credit Card,TXN649297695,Membership + Registration,Completed,2024-06-21
PAY00000100,MEM000065,MS0000090,89.98,2023-09-19,Debit Card,TXN434339824,Membership + Registration,Completed,2023-09-19
PAY00000101,MEM000066,MS0000091,119.98,2022-12-07,Credit Card,TXN666445835,Membership + Registration,Completed,2022-12-07
PAY00000102,MEM000067,MS0000092,89.98,2023-12-08,Credit Card,TXN743871705,Membership + Registration,Completed,2023-12-08
PAY00000103,MEM000067,MS0000093,229.98,2024-03-01,Bank Transfer,TXN235023271,Membership + Registration,Completed,2024-03-01
PAY00000104,MEM000068,MS0000094,119.98,2025-07-30,Credit Card,TXN281281574,Membership + Registration,Completed,2025-07-30
PAY00000105,MEM000069,MS0000095,119.98,2025-06-20,Credit Card,TXN654653599,Membership + Registration,Completed,2025-06-20
PAY00000106,MEM000070,MS0000096,59.99,2025-02-17,Credit Card,TXN678406673,Membership + Registration,Completed,2025-02-17
PAY00000107,MEM000071,MS0000097,59.99,2025-08-21,Credit Card,TXN420366326,Membership + Registration,Completed,2025-08-21
PAY00000108,MEM000072,MS0000098,54.99,2023-10-24,Debit Card,TXN760345146,Monthly Membership,Completed,2023-10-24
PAY00000109,MEM000072,MS0000099,119.98,2023-11-28,Credit Card,TXN895793467,Membership + Registration,Completed,2023-11-28
PAY00000110,MEM000073,MS0000100,119.98,2021-06-15,Credit Card,TXN117516451,Membership + Registration,Completed,2021-06-15
PAY00000111,MEM000074,MS0000101,119.98,2025-04-29,Credit Card,TXN634026837,Membership + Registration,Completed,2025-04-29
PAY00000112,MEM000074,MS0000102,119.98,2025-07-16,Bank Transfer,TXN786818297,Membership + Registration,Completed,2025-07-16
PAY00000113,MEM000075,MS0000103,54.99,2020-11-13,Debit Card,TXN336187814,Monthly Membership,Completed,2020-11-13
PAY00000114,MEM000076,MS0000104,119.98,2022-12-19,Debit Card,TXN836733253,Membership + Registration,Completed,2022-12-19
PAY00000115,MEM000077,MS0000105,119.98,2022-11-28,Credit Card,TXN906913098,Membership + Registration,Completed,2022-11-28
PAY00000116,MEM000077,MS0000106,119.98,2023-01-28,Debit Card,TXN425611752,Membership + Registration,Completed,2023-01-28
PAY00000117,MEM000078,MS0000107,58.33,2025-07-16,Debit Card,TXN458208429,Monthly Membership,Completed,2025-07-16
PAY00000118,MEM000078,MS0000107,58.33,2025-11-13,Debit Card,TXN250837052,Monthly Membership,Completed,2025-11-13
PAY00000119,MEM000078,MS0000107,58.33,2026-03-13,Bank Transfer,TXN866369332,Monthly Membership,Completed,2026-03-13
PAY00000120,MEM000079,MS0000108,119.98,2024-08-03,Credit Card,TXN494635308,Membership + Registration,Completed,2024-08-03
PAY00000121,MEM000080,MS0000109,229.98,2024-05-01,Cash,TXN758588966,Membership + Registration,Pending,2024-05-04
PAY00000122,MEM000081,MS0000110,119.98,2023-02-16,Credit Card,TXN313513758,Membership + Registration,Completed,2023-02-16
PAY00000123,MEM000082,MS0000111,59.99,2020-10-23,Credit Card,TXN936644281,Membership + Registration,Completed,2020-10-23
PAY00000124,MEM000082,MS0000112,59.99,2020-12-06,Debit Card,TXN775431176,Membership + Registration,Completed,2020-12-06
PAY00000125,MEM000083,MS0000113,119.98,2024-03-24,Credit Card,TXN229522585,Membership + Registration,Completed,2024-03-24
PAY00000126,MEM000084,MS0000114,119.98,2024-10-05,Credit Card,TXN867444588,Membership + Registration,Completed,2024-10-05
PAY00000127,MEM000084,MS0000115,54.99,2025-01-07,Credit Card,TXN708356126,Monthly Membership,Completed,2025-01-07
PAY00000128,MEM000085,MS0000116,89.98,2023-02-16,Credit Card,TXN374229965,Membership + Registration,Completed,2023-02-16
PAY00000129,MEM000086,MS0000117,119.98,2024-10-11,Credit Card,TXN390221673,Membership + Registration,Completed,2024-10-11
PAY00000130,MEM000087,MS0000118,119.98,2022-01-25,Credit Card,TXN235375650,Membership + Registration,Completed,2022-01-25
PAY00000131,MEM000087,MS0000119,119.98,2022-03-29,Debit Card,TXN575386525,Membership + Registration,Completed,2022-03-29
PAY00000132,MEM000088,MS0000120,59.99,2024-04-08,Debit Card,TXN808708014,Membership + Registration,Completed,2024-04-08
PAY00000133,MEM000089,MS0000121,89.98,2022-02-13,Credit Card,TXN293088702,Membership + Registration,Completed,2022-02-13
PAY00000134,MEM000090,MS0000122,89.98,2025-07-27,Credit Card,TXN952890186,Membership + Registration,Completed,2025-07-27
PAY00000135,MEM000090,MS0000123,59.99,2025-09-01,Credit Card,TXN925829481,Membership + Registration,Completed,2025-09-01
PAY00000136,MEM000091,MS0000124,89.98,2022-06-27,Debit Card,TXN674425778,Membership + Registration,Completed,2022-06-27
PAY00000137,MEM000092,MS0000125,229.98,2022-06-02,Credit Card,TXN835245813,Membership + Registration,Completed,2022-06-02
PAY00000138,MEM000093,MS0000126,119.98,2025-07-02,Credit Card,TXN915301633,Membership + Registration,Completed,2025-07-02
PAY00000139,MEM000094,MS0000127,59.99,2022-08-22,Debit Card,TXN996519131,Membership + Registration,Completed,2022-08-22
PAY00000140,MEM000095,MS0000128,58.33,2022-10-23,Credit Card,TXN397670487,Monthly Membership,Completed,2022-10-23
PAY00000141,MEM000095,MS0000128,58.33,2023-04-21,Debit Card,TXN670574024,Monthly Membership,Completed,2023-04-21
PAY00000142,MEM000095,MS0000129,58.33,2023-10-24,Credit Card,TXN967601481,Monthly Membership,Completed,2023-10-24
PAY00000143,MEM000095,MS0000129,58.33,2024-04-21,Credit Card,TXN934197500,Monthly Membership,Failed,2024-04-22
PAY00000144,MEM000096,MS0000130,58.33,2022-08-28,Debit Card,TXN119973375,Monthly Membership,Completed,2022-08-28
PAY00000145,MEM000097,MS0000131,119.98,2025-07-21,Credit Card,TXN954970538,Membership + Registration,Completed,2025-07-21
PAY00000146,MEM000097,MS0000132,59.99,2025-09-26,Credit Card,TXN554564136,Membership + Registration,Completed,2025-09-26
PAY00000147,MEM000098,MS0000133,119.98,2024-10-27,Credit Card,TXN915896788,Membership + Registration,Completed,2024-10-27
PAY00000148,MEM000099,MS0000134,89.98,2022-03-25,Credit Card,TXN554375631,Membership + Registration,Completed,2022-03-25
PAY00000149,MEM000099,MS0000135,59.99,2022-05-03,Debit Card,TXN306014185,Membership + Registration,Completed,2022-05-03
PAY00000150,MEM000100,MS0000136,54.99,2023-09-08,Credit Card,TXN412564206,Monthly Membership,Completed,2023-09-08
PAY00000151,MEM000100,MS0000137,229.98,2023-10-09,Credit Card,TXN911116130,Membership + Registration,Completed,2023-10-09
PAY00000152,MEM000101,MS0000138,54.99,2025-05-28,Credit Card,TXN308517855,Membership + Registration,Completed,2025-05-28
PAY00000153,MEM000101,MS0000139,89.98,2025-08-07,Credit Card,TXN681230196,Membership + Registration,Completed,2025-08-07
PAY00000154,MEM000102,MS0000140,119.98,2020-12-30,Debit Card,TXN668878211,Membership + Registration,Completed,2020-12-30
PAY00000155,MEM000102,MS0000141,119.98,2021-04-04,Credit Card,TXN494998765,Membership + Registration,Completed,2021-04-04
PAY00000156,MEM000103,MS0000142,54.99,2022-05-16,Credit Card,TXN181903355,Monthly Membership,Completed,2022-05-16
PAY00000157,MEM000104,MS0000143,119.98,2021-09-27,Credit Card,TXN774900297,Membership + Registration,Completed,2021-09-27
PAY00000158,MEM000105,MS0000144,119.98,2022-11-07,Credit Card,TXN546663785,Membership + Registration,Completed,2022-11-07
PAY00000159,MEM000106,MS0000145,119.98,2021-05-24,Credit Card,TXN871873132,Membership + Registration,Completed,2021-05-24
PAY00000160,MEM000107,MS0000146,229.98,2024-08-26,Cash,TXN760067656,Membership + Registration,Completed,2024-08-26
PAY00000161,MEM000108,MS0000147,54.99,2023-11-09,Debit Card,TXN204052501,Monthly Membership,Completed,2023-11-09
PAY00000162,MEM000109,MS0000148,89.98,2025-06-21,Credit Card,TXN797566854,Membership + Registration,Completed,2025-06-21
PAY00000163,MEM000110,MS0000149,119.98,2023-10-23,Credit Card,TXN954350496,Membership + Registration,Completed,2023-10-23
PAY00000164,MEM000111,MS0000150,119.98,2020-10-15,Credit Card,TXN643361727,Membership + Registration,Completed,2020-10-15
PAY00000165,MEM000112,MS0000151,59.99,2023-09-03,Debit Card,TXN137815009,Membership + Registration,Completed,2023-09-03
PAY00000166,MEM000113,MS0000152,89.98,2022-03-06,Credit Card,TXN879908657,Membership + Registration,Completed,2022-03-06
PAY00000167,MEM000113,MS0000153,89.98,2022-04-14,Debit Card,TXN693704839,Membership + Registration,Completed,2022-04-14
PAY00000168,MEM000114,MS0000154,59.99,2020-11-28,Credit Card,TXN861904821,Membership + Registration,Completed,2020-11-28
PAY00000169,MEM000115,MS0000155,89.98,2021-10-31,Cash,TXN161418801,Membership + Registration,Completed,2021-10-31
PAY00000170,MEM000116,MS0000156,119.98,2023-11-16,Credit Card,TXN210459560,Membership + Registration,Completed,2023-11-16
PAY00000171,MEM000117,MS0000157,58.33,2022-05-02,Credit Card,TXN553255273,Monthly Membership,Completed,2022-05-02
PAY00000172,MEM000117,MS0000157,58.33,2022-08-30,Credit Card,TXN841129907,Monthly Membership,Completed,2022-08-30
PAY00000173,MEM000117,MS0000157,58.33,2022-12-28,Credit Card,TXN502470733,Monthly Membership,Completed,2022-12-28
PAY00000174,MEM000118,MS0000158,54.99,2021-12-18,Cash,TXN812068341,Membership + Registration,Completed,2021-12-18
PAY00000175,MEM000119,MS0000159,89.98,2024-11-23,Credit Card,TXN960878307,Membership + Registration,Completed,2024-11-23
PAY00000176,MEM000120,MS0000160,119.98,2023-02-10,Credit Card,TXN726479657,Membership + Registration,Completed,2023-02-10
PAY00000177,MEM000121,MS0000161,89.98,2021-04-15,Debit Card,TXN950805460,Membership + Registration,Completed,2021-04-15
PAY00000178,MEM000122,MS0000162,229.98,2021-07-12,Credit Card,TXN363859278,Membership + Registration,Completed,2021-07-12
PAY00000179,MEM000123,MS0000163,89.98,2023-11-26,Credit Card,TXN632227514,Membership + Registration,Completed,2023-11-26
PAY00000180,MEM000124,MS0000164,59.99,2025-03-18,Credit Card,TXN668784716,Membership + Registration,Completed,2025-03-18
PAY00000181,MEM000125,MS0000165,58.33,2024-09-30,Credit Card,TXN552314781,Monthly Membership,Completed,2024-09-30
PAY00000182,MEM000126,MS0000166,58.33,2021-01-25,Debit Card,TXN509363639,Monthly Membership,Completed,2021-01-25
PAY00000183,MEM000126,MS0000166,58.33,2021-07-24,Debit Card,TXN823832705,Monthly Membership,Completed,2021-07-24
PAY00000184,MEM000127,MS0000167,89.98,2024-05-19,Credit Card,TXN459880410,Membership + Registration,Completed,2024-05-19
PAY00000185,MEM000127,MS0000168,119.98,2024-08-16,Debit Card,TXN342597870,Membership + Registration,Completed,2024-08-16
PAY00000186,MEM000128,MS0000169,119.98,2021-07-18,Debit Card,TXN900184635,Membership + Registration,Completed,2021-07-18
PAY00000187,MEM000129,MS0000170,59.99,2023-02-22,Credit Card,TXN739701922,Membership + Registration,Completed,2023-02-22
PAY00000188,MEM000130,MS0000171,89.98,2023-04-20,Credit Card,TXN414414996,Membership + Registration,Completed,2023-04-20
PAY00000189,MEM000131,MS0000172,89.98,2024-01-03,Credit Card,TXN562543595,Membership + Registration,Completed,2024-01-03
PAY00000190,MEM000132,MS0000173,59.99,2021-09-23,Debit Card,TXN389149483,Membership + Registration,Completed,2021-09-23
PAY00000191,MEM000132,MS0000174,59.99,2021-11-04,Credit Card,TXN590230720,Membership + Registration,Completed,2021-11-04
PAY00000192,MEM000133,MS0000175,54.99,2021-12-19,Cash,TXN788498362,Membership + Registration,Completed,2021-12-19
PAY00000193,MEM000134,MS0000176,58.33,2025-09-24,Credit Card,TXN284096081,Monthly Membership,Completed,2025-09-24
PAY00000194,MEM000135,MS0000177,229.98,2022-10-31,Credit Card,TXN310494562,Membership + Registration,Completed,2022-10-31
PAY00000195,MEM000136,MS0000178,229.98,2023-02-16,Debit Card,TXN109318704,Membership + Registration,Completed,2023-02-16
PAY00000196,MEM000136,MS0000179,58.33,2023-06-13,Credit Card,TXN972202081,Monthly Membership,Completed,2023-06-13
PAY00000197,MEM000136,MS0000179,58.33,2023-10-11,Credit Card,TXN976909672,Monthly Membership,Completed,2023-10-11
PAY00000198,MEM000136,MS0000179,58.33,2024-02-08,Credit Card,TXN335518831,Monthly Membership,Completed,2024-02-08
PAY00000199,MEM000137,MS0000180,119.98,2024-08-30,Credit Card,TXN197499544,Membership + Registration,Completed,2024-08-30
PAY00000200,MEM000138,MS0000181,89.98,2024-09-19,Credit Card,TXN511451937,Membership + Registration,Completed,2024-09-19
PAY00000201,MEM000139,MS0000182,54.99,2022-07-25,Debit Card,TXN923902023,Monthly Membership,Completed,2022-07-25
PAY00000202,MEM000139,MS0000183,119.98,2022-10-29,Credit Card,TXN690802178,Membership + Registration,Failed,2022-11-02
PAY00000203,MEM000140,MS0000184,58.33,2025-04-02,Credit Card,TXN753525337,Monthly Membership,Completed,2025-04-02
PAY00000204,MEM000140,MS0000185,58.33,2026-05-13,Debit Card,TXN600626876,Monthly Membership,Completed,2026-05-13
PAY00000205,MEM000141,MS0000186,54.99,2023-12-01,Credit Card,TXN848933076,Monthly Membership,Completed,2023-12-01
PAY00000206,MEM000142,MS0000187,89.98,2025-08-09,Debit Card,TXN858171918,Membership + Registration,Completed,2025-08-09
PAY00000207,MEM000142,MS0000188,58.33,2025-10-24,Credit Card,TXN410917014,Monthly Membership,Completed,2025-10-24
PAY00000208,MEM000143,MS0000189,119.98,2024-12-21,Credit Card,TXN429385578,Membership + Registration,Completed,2024-12-21
PAY00000209,MEM000143,MS0000190,89.98,2025-03-28,Credit Card,TXN519453679,Membership + Registration,Completed,2025-03-28
PAY00000210,MEM000144,MS0000191,119.98,2023-08-02,Check,TXN355907605,Membership + Registration,Completed,2023-08-02
PAY00000211,MEM000145,MS0000192,54.99,2025-08-29,Debit Card,TXN160388149,Membership + Registration,Completed,2025-08-29
PAY00000212,MEM000146,MS0000193,58.33,2021-09-15,Bank Transfer,TXN431515023,Monthly Membership,Completed,2021-09-15
PAY00000213,MEM000146,MS0000193,58.33,2022-03-14,Debit Card,TXN433781664,Monthly Membership,Completed,2022-03-14
PAY00000214,MEM000146,MS0000194,229.98,2022-12-08,Cash,TXN974599485,Membership + Registration,Completed,2022-12-08
PAY00000215,MEM000147,MS0000195,119.98,2024-04-15,Credit Card,TXN349127981,Membership + Registration,Completed,2024-04-15
PAY00000216,MEM000147,MS0000196,58.33,2024-05-26,Credit Card,TXN423117023,Monthly Membership,Completed,2024-05-26
PAY00000217,MEM000148,MS0000197,54.99,2022-11-16,Credit Card,TXN733560559,Monthly Membership,Completed,2022-11-16
PAY00000218,MEM000148,MS0000198,119.98,2023-01-22,Credit Card,TXN852701385,Membership + Registration,Completed,2023-01-22
PAY00000219,MEM000149,MS0000199,89.98,2024-04-22,Credit Card,TXN799662218,Membership + Registration,Pending,2024-04-29
PAY00000220,MEM000149,MS0000200,54.99,2024-06-12,Credit Card,TXN174594812,Membership + Registration,Completed,2024-06-12
PAY00000221,MEM000150,MS0000201,229.98,2025-04-21,Cash,TXN663937165,Membership + Registration,Completed,2025-04-21
PAY00000222,MEM000151,MS0000202,89.98,2021-08-16,Bank Transfer,TXN477181063,Membership + Registration,Completed,2021-08-16
PAY00000223,MEM000152,MS0000203,58.33,2021-08-30,Credit Card,TXN369884251,Monthly Membership,Completed,2021-08-30
PAY00000224,MEM000152,MS0000203,58.33,2021-12-28,Debit Card,TXN678088885,Monthly Membership,Failed,2021-12-29
