membershipid,memberid,membershiptypeid,startdate,enddate,status,autorenew
MS0000106,MEM000077,MT002,2023-01-28,2023-02-27,Expired,False
MS0000107,MEM000078,MT007,2025-07-16,2026-07-11,Active,True
MS0000108,MEM000079,MT002,2024-08-03,2024-09-02,Expired,False
MS0000109,MEM000080,MT003,2024-05-01,2024-05-31,Expired,False
MS0000110,MEM000081,MT002,2023-02-16,2023-03-18,Expired,False
MS0000111,MEM000082,MT005,2020-10-23,2020-11-22,Expired,False
MS0000112,MEM000082,MT005,2020-12-06,2021-01-05,Expired,False
MS0000113,MEM000083,MT002,2024-03-24,2024-04-23,Expired,False
MS0000114,MEM000084,MT002,2024-10-05,2024-11-04,Cancelled,False
MS0000115,MEM000084,MT006,2025-01-07,2025-02-06,Expired,False
MS0000116,MEM000085,MT001,2023-02-16,2023-03-18,Expired,False
MS0000117,MEM000086,MT002,2024-10-11,2024-11-10,Expired,False
MS0000118,MEM000087,MT002,2022-01-25,2022-02-24,Expired,False
MS0000119,MEM000087,MT002,2022-03-29,2022-04-28,Expired,False
MS0000120,MEM000088,MT005,2024-04-08,2024-05-08,Expired,False
MS0000121,MEM000089,MT001,2022-02-13,2022-03-15,Expired,False
MS0000122,MEM000090,MT001,2025-07-27,2025-08-26,Cancelled,False
MS0000123,MEM000090,MT005,2025-09-01,2025-10-01,Active,False
MS0000124,MEM000091,MT001,2022-06-27,2022-07-27,Expired,False
MS0000125,MEM000092,MT003,2022-06-02,2022-07-02,Expired,False
MS0000126,MEM000093,MT002,2025-07-02,2025-08-01,Expired,False
MS0000127,MEM000094,MT005,2022-08-22,2022-09-21,Expired,False
MS0000128,MEM000095,MT007,2022-10-23,2023-10-18,Cancelled,False
MS0000129,MEM000095,MT007,2023-10-24,2024-10-18,Expired,False
MS0000130,MEM000096,MT007,2022-08-28,2023-08-23,Expired,False
MS0000131,MEM000097,MT002,2025-07-21,2025-08-20,Cancelled,False
MS0000132,MEM000097,MT005,2025-09-26,2025-10-26,Active,False
MS0000133,MEM000098,MT002,2024-10-27,2024-11-26,Expired,False
MS0000134,MEM000099,MT001,2022-03-25,2022-04-24,Cancelled,False
MS0000135,MEM000099,MT005,2022-05-03,2022-06-02,Expired,False
MS0000136,MEM000100,MT006,2023-09-08,2023-10-08,Cancelled,False
MS0000137,MEM000100,MT003,2023-10-09,2023-11-08,Expired,False
MS0000138,MEM000101,MT004,2025-05-28,2025-06-27,Expired,False
MS0000139,MEM000101,MT001,2025-08-07,2025-09-06,Expired,False
MS0000140,MEM000102,MT002,2020-12-30,2021-01-29,Cancelled,False
MS0000141,MEM000102,MT002,2021-04-04,2021-05-04,Expired,False
MS0000142,MEM000103,MT006,2022-05-16,2022-06-15,Expired,False
MS0000143,MEM000104,MT002,2021-09-27,2021-10-27,Expired,False
MS0000144,MEM000105,MT002,2022-11-07,2022-12-07,Expired,False
MS0000145,MEM000106,MT002,2021-05-24,2021-06-23,Expired,False
MS0000146,MEM000107,MT003,2024-08-26,2024-09-25,Expired,False
MS0000147,MEM000108,MT006,2023-11-09,2023-12-09,Expired,False
MS0000148,MEM000109,MT001,2025-06-21,2025-07-21,Expired,False
MS0000149,MEM000110,MT002,2023-10-23,2023-11-22,Expired,False
MS0000150,MEM000111,MT002,2020-10-15,2020-11-14,Expired,False
MS0000151,MEM000112,MT005,2023-09-03,2023-10-03,Expired,False
MS0000152,MEM000113,MT001,2022-03-06,2022-04-05,Expired,False
MS0000153,MEM000113,MT001,2022-04-14,2022-05-14,Expired,False
MS0000154,MEM000114,MT005,2020-11-28,2020-12-28,Expired,False
MS0000155,MEM000115,MT001,2021-10-31,2021-11-30,Expired,False
MS0000156,MEM000116,MT002,2023-11-16,2023-12-16,Expired,False
MS0000157,MEM000117,MT007,2022-05-02,2023-04-27,Expired,False
MS0000158,MEM000118,MT004,2021-12-18,2022-01-17,Expired,False
MS0000159,MEM000119,MT001,2024-11-23,2024-12-23,Expired,False
MS0000160,MEM000120,MT002,2023-02-10,2023-03-12,Expired,False
MS0000161,MEM000121,MT001,2021-04-15,2021-05-15,Expired,False
MS0000162,MEM000122,MT003,2021-07-12,2021-08-11,Expired,False
MS0000163,MEM000123,MT001,2023-11-26,2023-12-26,Expired,False
MS0000164,MEM000124,MT005,2025-03-18,2025-04-17,Expired,False
MS0000165,MEM000125,MT007,2024-09-30,2025-09-25,Expired,False
MS0000166,MEM000126,MT007,2021-01-25,2022-01-20,Expired,False
MS0000167,MEM000127,MT001,2024-05-19,2024-06-18,Cancelled,False
MS0000168,MEM000127,MT002,2024-08-16,2024-09-15,Expired,False
MS0000169,MEM000128,MT002,2021-07-18,2021-08-17,Expired,False
MS0000170,MEM000129,MT005,2023-02-22,2023-03-24,Expired,False
MS0000171,MEM000130,MT001,2023-04-20,2023-05-20,Expired,False
MS0000172,MEM000131,MT001,2024-01-03,2024-02-02,Expired,False
MS0000173,MEM000132,MT005,2021-09-23,2021-10-23,Cancelled,False
MS0000174,MEM000132,MT005,2021-11-04,2021-12-04,Expired,False
MS0000175,MEM000133,MT004,2021-12-19,2022-01-18,Expired,False
MS0000176,MEM000134,MT007,2025-09-24,2026-09-19,Active,True
MS0000177,MEM000135,MT003,2022-10-31,2022-11-30,Expired,False
MS0000178,MEM000136,MT003,2023-02-16,2023-03-18,Cancelled,False
MS0000179,MEM000136,MT007,2023-06-13,2024-06-07,Expired,False
MS0000180,MEM000137,MT002,2024-08-30,2024-09-29,Expired,False
MS0000181,MEM000138,MT001,2024-09-19,2024-10-19,Expired,False
MS0000182,MEM000139,MT006,2022-07-25,2022-08-24,Expired,False
MS0000183,MEM000139,MT002,2022-10-29,2022-11-28,Expired,False
MS0000184,MEM000140,MT007,2025-04-02,2026-03-28,Expired,False
MS0000185,MEM000140,MT007,2026-05-13,2027-05-08,Active,True
MS0000186,MEM000141,MT006,2023-12-01,2023-12-31,Expired,False
MS0000187,MEM000142,MT001,2025-08-09,2025-09-08,Expired,False
MS0000188,MEM000142,MT007,2025-10-24,2026-10-19,Expired,False
MS0000189,MEM000143,MT002,2024-12-21,2025-01-20,Expired,False
MS0000190,MEM000143,MT001,2025-03-28,2025-04-27,Expired,False
MS0000191,MEM000144,MT002,2023-08-02,2023-09-01,Expired,False
MS0000192,MEM000145,MT004,2025-08-29,2025-09-28,Expired,False
MS0000193,MEM000146,MT007,2021-09-15,2022-09-10,Expired,False
MS0000194,MEM000146,MT003,2022-12-08,2023-01-07,Expired,False
MS0000195,MEM000147,MT002,2024-04-15,2024-05-15,Cancelled,False
MS0000196,MEM000147,MT007,2024-05-26,2025-05-21,Expired,False
MS0000197,MEM000148,MT006,2022-11-16,2022-12-16,Expired,False
MS0000198,MEM000148,MT002,2023-01-22,2023-02-21,Expired,False
MS0000199,MEM000149,MT001,2024-04-22,2024-05-22,Expired,False
MS0000200,MEM000149,MT004,2024-06-12,2024-07-12,Cancelled,False
MS0000201,MEM000150,MT003,2025-04-21,2025-05-21,Expired,False
MS0000202,MEM000151,MT001,2021-08-16,2021-09-15,Expired,False
MS0000203,MEM000152,MT007,2021-08-30,2022-08-25,Expired,False
MS0000204,MEM000153,MT006,2023-03-11,2023-04-10,Cancelled,False
MS0000205,MEM000153,MT006,2023-04-13,2023-05-13,Expired,False
MS0000206,MEM000154,MT002,2025-03-22,2025-04-21,Expired,False
MS0000207,MEM000155,MT007,2021-04-10,2022-04-05,Expired,False
MS0000208,MEM000156,MT003,2022-04-06,2022-05-06,Expired,False
MS0000209,MEM000157,MT007,2021-07-11,2022-07-06,Expired,False
MS0000210,MEM000158,MT001,2024-05-17,2024-06-16,Expired,False
MS0000211,MEM000159,MT008,2022-07-12,2023-07-07,Expired,False
MS0000212,MEM000160,MT002,2024-09-05,2024-10-05,Expired,False
MS0000213,MEM000161,MT001,2025-04-17,2025-05-17,Expired,False
MS0000214,MEM000161,MT001,2025-06-25,2025-07-25,Expired,False
MS0000215,MEM000162,MT001,2020-11-26,2020-12-26,Expired,False
MS0000216,MEM000163,MT003,2023-09-09,2023-10-09,Expired,False
MS0000217,MEM000164,MT002,2021-12-04,2022-01-03,Expired,False
MS0000218,MEM000165,MT002,2024-05-06,2024-06-05,Expired,False
MS0000219,MEM000166,MT005,2025-01-02,2025-02-01,Expired,False
MS0000220,MEM000167,MT007,2025-06-06,2026-06-01,Cancelled,False
MS0000221,MEM000167,MT003,2026-07-19,2026-08-18,Active,False
MS0000222,MEM000168,MT002,2024-09-21,2024-10-21,Expired,False
MS0000223,MEM000168,MT001,2024-11-08,2024-12-08,Expired,False
MS0000224,MEM000169,MT003,2023-07-23,2023-08-22,Expired,False
MS0000225,MEM000169,MT001,2023-10-14,2023-11-13,Expired,False
MS0000226,MEM000170,MT007,2021-09-06,2022-09-01,Cancelled,False
MS0000227,MEM000170,MT002,2022-09-06,2022-10-06,Expired,False
MS0000228,MEM000171,MT003,2022-11-25,2022-12-25,Cancelled,False
MS0000229,MEM000171,MT006,2023-02-21,2023-03-23,Expired,False
MS0000230,MEM000172,MT007,2024-03-04,2025-02-27,Expired,False
MS0000231,MEM000172,MT007,2025-05-02,2026-04-27,Active,True
MS0000232,MEM000173,MT001,2021-03-28,2021-04-27,Cancelled,False
MS0000233,MEM000173,MT005,2021-06-29,2021-07-29,Expired,False
MS0000234,MEM000174,MT007,2024-12-19,2025-12-14,Active,True
MS0000235,MEM000175,MT002,2024-08-29,2024-09-28,Expired,False
MS0000236,MEM000176,MT001,2024-09-20,2024-10-20,Cancelled,False
MS0000237,MEM000176,MT005,2024-11-10,2024-12-10,Expired,False
MS0000238,MEM000177,MT002,2025-05-18,2025-06-17,Expired,False
MS0000239,MEM000178,MT003,2024-05-02,2024-06-01,Expired,False
MS0000240,MEM000179,MT002,2020-10-09,2020-11-08,Expired,False
MS0000241,MEM000179,MT002,2020-12-02,2021-01-01,Expired,False
MS0000242,MEM000180,MT002,2024-06-05,2024-07-05,Expired,False
MS0000243,MEM000180,MT001,2024-09-06,2024-10-06,Expired,False
MS0000244,MEM000181,MT004,2021-01-06,2021-02-05,Cancelled,False
MS0000245,MEM000181,MT009,2021-04-03,2021-04-03,Expired,False
MS0000246,MEM000182,MT002,2024-04-14,2024-05-14,Expired,False
MS0000247,MEM000183,MT002,2024-11-13,2024-12-13,Expired,False
MS0000248,MEM000184,MT001,2022-06-23,2022-07-23,Expired,False
MS0000249,MEM000185,MT002,2023-05-22,2023-06-21,Expired,False
MS0000250,MEM000185,MT002,2023-09-18,2023-10-18,Expired,False
MS0000251,MEM000186,MT002,2021-02-09,2021-03-11,Cancelled,False
MS0000252,MEM000186,MT001,2021-05-21,2021-06-20,Expired,False
MS0000253,MEM000187,MT008,2021-03-01,2022-02-24,Expired,False
MS0000254,MEM000187,MT007,2022-03-11,2023-03-06,Expired,False
MS0000255,MEM000188,MT001,2021-06-05,2021-07-05,Expired,False
MS0000256,MEM000189,MT002,2022-01-30,2022-03-01,Expired,False
MS0000257,MEM000190,MT003,2025-08-17,2025-09-16,Expired,False
MS0000258,MEM000191,MT005,2020-12-09,2021-01-08,Expired,False
MS0000259,MEM000192,MT001,2022-02-20,2022-03-22,Expired,False
MS0000260,MEM000193,MT005,2023-05-20,2023-06-19,Expired,False
MS0000261,MEM000194,MT006,2021-03-24,2021-04-23,Expired,False
MS0000262,MEM000195,MT005,2021-06-10,2021-07-10,Expired,False
MS0000263,MEM000196,MT006,2023-06-17,2023-07-17,Expired,False
MS0000264,MEM000197,MT001,2024-08-29,2024-09-28,Expired,False
MS0000265,MEM000198,MT002,2025-01-05,2025-02-04,Expired,False
MS0000266,MEM000199,MT003,2025-09-21,2025-10-21,Expired,False
MS0000267,MEM000199,MT003,2025-11-13,2025-12-13,Active,False
MS0000268,MEM000200,MT006,2024-03-19,2024-04-18,Expired,False
MS0000269,MEM000201,MT003,2022-09-19,2022-10-19,Cancelled,False
MS0000270,MEM000201,MT002,2022-12-13,2023-01-12,Expired,False
MS0000271,MEM000202,MT002,2022-08-24,2022-09-23,Cancelled,False
MS0000272,MEM000202,MT002,2022-09-24,2022-10-24,Expired,False
MS0000273,MEM000203,MT002,2024-04-14,2024-05-14,Expired,False
MS0000274,MEM000204,MT007,2024-05-31,2025-05-26,Expired,False
MS0000275,MEM000205,MT007,2024-07-31,2025-07-26,Expired,False
MS0000276,MEM000206,MT007,2023-07-20,2024-07-14,Cancelled,False
MS0000277,MEM000206,MT008,2024-07-29,2025-07-24,Expired,False
MS0000278,MEM000207,MT002,2025-08-05,2025-09-04,Expired,False
MS0000279,MEM000208,MT001,2024-04-27,2024-05-27,Expired,False
MS0000280,MEM000209,MT005,2021-04-25,2021-05-25,Expired,False
MS0000281,MEM000210,MT001,2025-03-04,2025-04-03,Cancelled,False
MS0000282,MEM000210,MT005,2025-04-13,2025-05-13,Expired,False
MS0000283,MEM000211,MT001,2021-06-15,2021-07-15,Expired,False
MS0000284,MEM000212,MT001,2025-06-20,2025-07-20,Expired,False
MS0000285,MEM000213,MT001,2020-11-09,2020-12-09,Expired,False
MS0000286,MEM000214,MT005,2023-09-18,2023-10-18,Cancelled,False
MS0000287,MEM000214,MT001,2023-12-13,2024-01-12,Cancelled,False
MS0000288,MEM000215,MT007,2023-06-25,2024-06-19,Expired,False
MS0000289,MEM000216,MT005,2023-12-11,2024-01-10,Cancelled,False
MS0000290,MEM000216,MT005,2024-02-29,2024-03-30,Expired,False
MS0000291,MEM000217,MT001,2022-10-08,2022-11-07,Expired,False
MS0000292,MEM000218,MT001,2021-04-27,2021-05-27,Expired,False
MS0000293,MEM000219,MT002,2022-08-06,2022-09-05,Cancelled,False
MS0000294,MEM000219,MT003,2022-10-04,2022-11-03,Expired,False
MS0000295,MEM000220,MT001,2024-04-19,2024-05-19,Expired,False
MS0000296,MEM000220,MT002,2024-06-13,2024-07-13,Expired,False
MS0000297,MEM000221,MT003,2023-02-18,2023-03-20,Expired,False
MS0000298,MEM000222,MT003,2024-08-06,2024-09-05,Expired,False
MS0000299,MEM000223,MT005,2021-09-23,2021-10-23,Expired,False
MS0000300,MEM000224,MT007,2021-09-24,2022-09-19,Expired,False
MS0000301,MEM000225,MT003,2024-12-17,2025-01-16,Expired,False
MS0000302,MEM000226,MT002,2022-03-29,2022-04-28,Cancelled,False
MS0000303,MEM000226,MT002,2022-05-09,2022-06-08,Expired,False
MS0000304,MEM000227,MT002,2021-04-25,2021-05-25,Expired,False
MS0000305,MEM000227,MT005,2021-06-22,2021-07-22,Expired,False
MS0000306,MEM000228,MT002,2021-05-18,2021-06-17,Expired,False
MS0000307,MEM000228,MT002,2021-08-21,2021-09-20,Expired,False
MS0000308,MEM000229,MT003,2025-08-11,2025-09-10,Expired,False
MS0000309,MEM000230,MT005,2024-11-20,2024-12-20,Expired,False
MS0000310,MEM000231,MT002,2023-03-30,2023-04-29,Cancelled,False
MS0000311,MEM000231,MT002,2023-07-06,2023-08-05,Expired,False
MS0000312,MEM000232,MT001,2024-08-11,2024-09-10,Cancelled,False
MS0000313,MEM000232,MT005,2024-12-08,2025-01-07,Expired,False
MS0000314,MEM000233,MT006,2021-09-15,2021-10-15,Expired,False
MS0000315,MEM000234,MT003,2022-08-10,2022-09-09,Cancelled,False
MS0000316,MEM000234,MT006,2022-11-17,2022-12-17,Expired,False
MS0000317,MEM000235,MT004,2021-10-05,2021-11-04,Expired,False
MS0000318,MEM000236,MT007,2025-09-08,2026-09-03,Active,True
MS0000319,MEM000237,MT002,2023-05-23,2023-06-22,Expired,False
MS0000320,MEM000238,MT007,2023-12-25,2024-12-19,Expired,False
MS0000321,MEM000238,MT003,2025-03-15,2025-04-14,Expired,False
MS0000322,MEM000239,MT001,2023-05-05,2023-06-04,Expired,False
MS0000323,MEM000240,MT007,2025-03-13,2026-03-08,Active,True
MS0000324,MEM000241,MT002,2023-07-01,2023-07-31,Cancelled,False
MS0000325,MEM000242,MT007,2025-07-18,2026-07-13,Cancelled,False
MS0000326,MEM000242,MT003,2026-08-19,2026-09-18,Active,False
MS0000327,MEM000243,MT001,2021-02-11,2021-03-13,Expired,False
MS0000328,MEM000244,MT005,2021-03-28,2021-04-27,Expired,False
MS0000329,MEM000244,MT001,2021-06-10,2021-07-10,Expired,False
MS0000330,MEM000245,MT003,2023-10-14,2023-11-13,Expired,False
MS0000331,MEM000246,MT005,2023-03-24,2023-04-23,Expired,False
MS0000332,MEM000247,MT006,2024-02-04,2024-03-05,Expired,False
MS0000333,MEM000248,MT002,2022-12-07,2023-01-06,Expired,False
MS0000334,MEM000249,MT002,2022-02-07,2022-03-09,Expired,False
MS0000335,MEM000250,MT006,2025-07-08,2025-08-07,Expired,False
MS0000336,MEM000251,MT002,2021-08-03,2021-09-02,Expired,False
MS0000337,MEM000252,MT002,2022-12-15,2023-01-14,Expired,False
MS0000338,MEM000253,MT005,2021-12-14,2022-01-13,Expired,False
MS0000339,MEM000254,MT002,2025-07-20,2025-08-19,Expired,False
MS0000340,MEM000255,MT002,2021-11-28,2021-12-28,Expired,False
MS0000341,MEM000256,MT002,2022-06-29,2022-07-29,Expired,False
MS0000342,MEM000256,MT001,2022-10-02,2022-11-01,Expired,False
MS0000343,MEM000257,MT003,2021-01-18,2021-02-17,Expired,False
MS0000344,MEM000258,MT002,2022-03-12,2022-04-11,Expired,False
MS0000345,MEM000259,MT007,2022-10-22,2023-10-17,Expired,False
MS0000346,MEM000260,MT007,2021-07-03,2022-06-28,Expired,False
MS0000347,MEM000260,MT007,2022-07-12,2023-07-07,Expired,False
MS0000348,MEM000261,MT002,2022-03-06,2022-04-05,Expired,False
MS0000349,MEM000262,MT005,2022-09-28,2022-10-28,Expired,False
MS0000350,MEM000263,MT003,2024-02-15,2024-03-16,Expired,False
MS0000351,MEM000264,MT002,2024-03-17,2024-04-16,Expired,False
MS0000352,MEM000264,MT003,2024-06-01,2024-07-01,Expired,False
MS0000353,MEM000265,MT002,2024-09-27,2024-10-27,Expired,False
MS0000354,MEM000266,MT002,2023-08-30,2023-09-29,Expired,False
MS0000355,MEM000266,MT001,2023-10-21,2023-11-20,Expired,False
MS0000356,MEM000267,MT001,2022-06-10,2022-07-10,Expired,False
MS0000357,MEM000268,MT001,2024-02-07,2024-03-08,Expired,False
MS0000358,MEM000269,MT001,2020-12-22,2021-01-21,Expired,False
MS0000359,MEM000270,MT002,2024-12-05,2025-01-04,Expired,False
MS0000360,MEM000271,MT002,2024-04-30,2024-05-30,Expired,False
MS0000361,MEM000271,MT005,2024-06-02,2024-07-02,Expired,False
MS0000362,MEM000272,MT007,2023-03-22,2024-03-16,Expired,False
MS0000363,MEM000273,MT006,2021-06-28,2021-07-28,Expired,False
MS0000364,MEM000274,MT002,2021-12-10,2022-01-09,Expired,False
MS0000365,MEM000275,MT002,2021-11-22,2021-12-22,Expired,False
MS0000366,MEM000276,MT002,2022-12-27,2023-01-26,Expired,False
MS0000367,MEM000277,MT003,2024-10-12,2024-11-11,Expired,False
MS0000368,MEM000278,MT006,2025-03-10,2025-04-09,Cancelled,False
MS0000369,MEM000278,MT002,2025-04-29,2025-05-29,Expired,False
MS0000370,MEM000279,MT001,2024-11-27,2024-12-27,Expired,False
MS0000371,MEM000279,MT005,2025-02-18,2025-03-20,Cancelled,False
MS0000372,MEM000279,MT005,2025-05-05,2025-06-04,Cancelled,False
MS0000373,MEM000280,MT003,2021-03-01,2021-03-31,Expired,False
MS0000374,MEM000281,MT007,2024-03-02,2025-02-25,Expired,False
MS0000375,MEM000282,MT007,2022-02-18,2023-02-13,Expired,False
MS0000376,MEM000283,MT002,2025-07-09,2025-08-08,Expired,False
MS0000377,MEM000284,MT004,2022-03-10,2022-04-09,Expired,False
MS0000378,MEM000285,MT007,2023-09-03,2024-08-28,Expired,False
MS0000379,MEM000286,MT002,2021-05-10,2021-06-09,Expired,False
MS0000380,MEM000287,MT004,2023-05-05,2023-06-04,Expired,False
MS0000381,MEM000288,MT005,2023-08-16,2023-09-15,Expired,False
MS0000382,MEM000289,MT001,2023-11-02,2023-12-02,Expired,False
MS0000383,MEM000290,MT001,2024-08-13,2024-09-12,Expired,False
MS0000384,MEM000290,MT002,2024-10-07,2024-11-06,Expired,False
