enrollmentid,memberid,instanceid,enrollmentdate,enrollmentstatus,paymentamount,checkintime,checkouttime
EN00000018,MEM000154,CI0000003,2025-09-26 00:00:00.372621,Attended,0.0,2025-09-26 00:00:00.473598,2025-09-26 01:46:00.473598
EN00000019,MEM001862,CI0000003,2025-09-24 10:17:03.139108,Attended,0.0,2025-09-26 00:00:00.069171,2025-09-26 01:06:00.069171
EN00000020,MEM000386,CI0000003,2025-09-22 03:44:21.121538,Attended,0.0,2025-09-26 00:00:00.971111,2025-09-26 01:03:00.971111
EN00000021,MEM001018,CI0000003,2025-09-23 13:21:04.802522,Attended,0.0,2025-09-26 00:00:00.385943,2025-09-26 01:09:00.385943
EN00000022,MEM001221,CI0000003,2025-09-25 05:55:30.341769,Attended,0.0,2025-09-26 00:00:00.493074,2025-09-26 01:24:00.493074
EN00000023,MEM000356,CI0000003,2025-09-24 11:58:19.562039,Attended,0.0,2025-09-26 00:00:00.181404,2025-09-26 01:50:00.181404
EN00000024,MEM000834,CI0000003,2025-09-22 19:27:25.570320,Attended,0.0,2025-09-26 00:00:00.678303,2025-09-26 01:19:00.678303
EN00000025,MEM001996,CI0000003,2025-09-26 00:00:00.275648,Attended,0.0,2025-09-26 00:00:00.892284,2025-09-26 01:17:00.892284
EN00000026,MEM001531,CI0000003,2025-09-20 14:43:03.070814,Attended,0.0,2025-09-26 00:00:00.339125,2025-09-26 00:46:00.339125
EN00000027,MEM000930,CI0000003,2025-09-23 09:55:20.807850,Attended,0.0,2025-09-26 00:00:00.594699,2025-09-26 01:07:00.594699
EN00000028,MEM001903,CI0000003,2025-09-20 23:19:45.709295,Attended,0.0,2025-09-26 00:00:00.331522,2025-09-26 01:19:00.331522
EN00000029,MEM001246,CI0000003,2025-09-24 00:18:48.631102,Attended,0.0,2025-09-26 00:00:00.625160,2025-09-26 01:13:00.625160
EN00000030,MEM000759,CI0000003,2025-09-23 06:15:54.068402,Attended,0.0,2025-09-26 00:00:00.965603,2025-09-26 00:46:00.965603
EN00000031,MEM000134,CI0000003,2025-09-24 00:39:44.289485,Attended,0.0,2025-09-26 00:00:00.115179,2025-09-26 01:06:00.115179
EN00000032,MEM001470,CI0000004,2025-09-26 00:00:00.153276,Attended,0.0,2025-09-26 00:00:00.294458,2025-09-26 01:09:00.294458
EN00000033,MEM001589,CI0000004,2025-09-25 09:11:31.159383,Attended,0.0,2025-09-26 00:00:00.608196,2025-09-26 01:54:00.608196
EN00000034,MEM001654,CI0000004,2025-09-18 03:23:11.920959,Attended,0.0,2025-09-26 00:00:00.961220,2025-09-26 00:54:00.961220
EN00000035,MEM000336,CI0000004,2025-09-23 18:31:12.953117,Attended,0.0,2025-09-26 00:00:00.514851,2025-09-26 01:03:00.514851
EN00000036,MEM001841,CI0000004,2025-09-23 20:09:39.507351,Attended,0.0,2025-09-26 00:00:00.811007,2025-09-26 01:10:00.811007
EN00000037,MEM001457,CI0000004,2025-09-23 08:47:43.970892,Attended,0.0,2025-09-26 00:00:00.294403,2025-09-26 01:33:00.294403
EN00000038,MEM001584,CI0000005,2025-09-24 04:18:01.062472,Attended,0.0,2025-09-26 00:00:00.883691,2025-09-26 00:46:00.883691
EN00000039,MEM001498,CI0000005,2025-09-22 20:53:30.767079,Attended,0.0,2025-09-26 00:00:00.927042,2025-09-26 00:51:00.927042
EN00000040,MEM001235,CI0000005,2025-09-25 04:57:23.977315,Attended,0.0,2025-09-26 00:00:00.952822,2025-09-26 01:54:00.952822
EN00000041,MEM001197,CI0000005,2025-09-22 14:28:19.451880,Attended,0.0,2025-09-26 00:00:00.325539,2025-09-26 01:39:00.325539
EN00000042,MEM000430,CI0000005,2025-09-24 04:24:02.879123,Attended,0.0,2025-09-26 00:00:00.748477,2025-09-26 01:46:00.748477
EN00000043,MEM001104,CI0000005,2025-09-26 00:00:00.230333,Attended,0.0,2025-09-26 00:00:00.048638,2025-09-26 01:53:00.048638
EN00000044,MEM000729,CI0000006,2025-09-24 23:53:11.482195,Attended,0.0,2025-09-26 00:00:00.144443,2025-09-26 01:16:00.144443
EN00000045,MEM000866,CI0000006,2025-09-21 22:16:51.783487,Attended,0.0,2025-09-26 00:00:00.887158,2025-09-26 00:56:00.887158
EN00000046,MEM001642,CI0000006,2025-09-23 11:22:15.360276,Attended,0.0,2025-09-26 00:00:00.197753,2025-09-26 00:54:00.197753
EN00000047,MEM000128,CI0000006,2025-09-21 04:25:06.010228,Attended,0.0,2025-09-26 00:00:00.122109,2025-09-26 01:40:00.122109
EN00000048,MEM000001,CI0000006,2025-09-23 15:00:57.584039,Attended,0.0,2025-09-26 00:00:00.798441,2025-09-26 01:05:00.798441
EN00000049,MEM000698,CI0000006,2025-09-18 06:01:06.156105,Attended,0.0,2025-09-26 00:00:00.391348,2025-09-26 00:56:00.391348
EN00000050,MEM000197,CI0000006,2025-09-22 07:21:25.362877,No Show,0.0,,
EN00000051,MEM001430,CI0000007,2025-09-23 13:20:42.897137,Attended,0.0,2025-09-26 00:00:00.823626,2025-09-26 00:56:00.823626
EN00000052,MEM000530,CI0000007,2025-09-24 07:42:13.502980,Attended,0.0,2025-09-26 00:00:00.217819,2025-09-26 00:45:00.217819
EN00000053,MEM001174,CI0000007,2025-09-21 11:49:01.043065,Attended,0.0,2025-09-26 00:00:00.938539,2025-09-26 01:14:00.938539
EN00000054,MEM001797,CI0000007,2025-09-25 17:20:49.414011,Attended,0.0,2025-09-26 00:00:00.605086,2025-09-26 01:27:00.605086
EN00000055,MEM001481,CI0000007,2025-09-22 09:41:30.346047,Attended,0.0,2025-09-26 00:00:00.541583,2025-09-26 01:01:00.541583
EN00000056,MEM001475,CI0000007,2025-09-22 12:05:20.822063,No Show,0.0,,
EN00000057,MEM001686,CI0000008,2025-09-24 15:12:38.294363,Attended,0.0,2025-09-26 00:00:00.153753,2025-09-26 01:12:00.153753
EN00000058,MEM001575,CI0000008,2025-09-26 00:00:00.540421,Attended,0.0,2025-09-26 00:00:00.005531,2025-09-26 01:07:00.005531
EN00000059,MEM000667,CI0000008,2025-09-25 04:52:45.632751,Attended,0.0,2025-09-26 00:00:00.267718,2025-09-26 01:41:00.267718
EN00000060,MEM001943,CI0000008,2025-09-24 06:05:13.188523,Attended,0.0,2025-09-26 00:00:00.415736,2025-09-26 01:35:00.415736
EN00000061,MEM001966,CI0000009,2025-09-25 18:33:39.724443,Attended,0.0,2025-09-26 00:00:00.001840,2025-09-26 01:16:00.001840
EN00000062,MEM000856,CI0000009,2025-09-23 02:51:53.527762,Attended,0.0,2025-09-26 00:00:00.518870,2025-09-26 01:57:00.518870
EN00000063,MEM000915,CI0000009,2025-09-18 23:57:20.689568,Attended,0.0,2025-09-26 00:00:00.963730,2025-09-26 01:52:00.963730
EN00000064,MEM000176,CI0000009,2025-09-22 19:05:40.441134,Attended,0.0,2025-09-26 00:00:00.700083,2025-09-26 01:29:00.700083
EN00000065,MEM000367,CI0000009,2025-09-21 18:27:12.954538,Attended,0.0,2025-09-26 00:00:00.330250,2025-09-26 01:19:00.330250
EN00000066,MEM001115,CI0000009,2025-09-23 23:47:59.994418,Attended,0.0,2025-09-26 00:00:00.468479,2025-09-26 01:28:00.468479
EN00000067,MEM001425,CI0000009,2025-09-20 21:16:28.726738,Attended,0.0,2025-09-26 00:00:00.638225,2025-09-26 00:57:00.638225
EN00000068,MEM000275,CI0000009,2025-09-23 08:11:19.901968,Attended,0.0,2025-09-26 00:00:00.024515,2025-09-26 01:27:00.024515
EN00000069,MEM000292,CI0000009,2025-09-25 03:43:39.390333,Attended,0.0,2025-09-26 00:00:00.799451,2025-09-26 01:38:00.799451
EN00000070,MEM000613,CI0000009,2025-09-24 01:37:22.955467,Attended,0.0,2025-09-26 00:00:00.285060,2025-09-26 00:51:00.285060
EN00000071,MEM001455,CI0000009,2025-09-23 07:39:22.146327,Attended,0.0,2025-09-26 00:00:00.283043,2025-09-26 00:59:00.283043
EN00000072,MEM001590,CI0000009,2025-09-21 10:49:46.877316,Attended,0.0,2025-09-26 00:00:00.033195,2025-09-26 01:35:00.033195
EN00000073,MEM001016,CI0000009,2025-09-23 21:12:01.951079,Attended,0.0,2025-09-26 00:00:00.635752,2025-09-26 01:48:00.635752
EN00000074,MEM001328,CI0000010,2025-09-25 01:06:59.614461,Attended,0.0,2025-09-26 00:00:00.197588,2025-09-26 01:38:00.197588
EN00000075,MEM001265,CI0000010,2025-09-26 00:00:00.117847,Attended,0.0,2025-09-26 00:00:00.421538,2025-09-26 01:46:00.421538
EN00000076,MEM001287,CI0000010,2025-09-19 09:30:26.900529,Attended,0.0,2025-09-26 00:00:00.442847,2025-09-26 01:18:00.442847
EN00000077,MEM000887,CI0000010,2025-09-26 00:00:00.276697,Attended,0.0,2025-09-26 00:00:00.979438,2025-09-26 01:55:00.979438
EN00000078,MEM000024,CI0000010,2025-09-21 19:20:26.010965,Attended,0.0,2025-09-26 00:00:00.762724,2025-09-26 01:03:00.762724
EN00000079,MEM001029,CI0000010,2025-09-24 11:35:15.364152,No Show,0.0,,
EN00000080,MEM001198,CI0000011,2025-09-22 13:46:35.019426,Attended,0.0,2025-09-26 00:00:00.988581,2025-09-26 01:42:00.988581
EN00000081,MEM000538,CI0000011,2025-09-25 14:24:37.942291,Attended,0.0,2025-09-26 00:00:00.905737,2025-09-26 01:48:00.905737
EN00000082,MEM000440,CI0000011,2025-09-24 20:48:21.424604,Attended,0.0,2025-09-26 00:00:00.983125,2025-09-26 02:00:00.983125
EN00000083,MEM001620,CI0000011,2025-09-23 15:19:00.172289,Attended,0.0,2025-09-26 00:00:00.561284,2025-09-26 01:00:00.561284
EN00000084,MEM000314,CI0000011,2025-09-24 16:51:38.844931,Attended,0.0,2025-09-26 00:00:00.745662,2025-09-26 02:00:00.745662
EN00000085,MEM001805,CI0000011,2025-09-25 01:32:50.197634,Attended,0.0,2025-09-26 00:00:00.257269,2025-09-26 01:44:00.257269
EN00000086,MEM000700,CI0000011,2025-09-25 14:00:10.691270,Attended,0.0,2025-09-26 00:00:00.387043,2025-09-26 00:46:00.387043
EN00000087,MEM000350,CI0000011,2025-09-22 12:01:56.563102,Attended,0.0,2025-09-26 00:00:00.128284,2025-09-26 01:56:00.128284
EN00000088,MEM000185,CI0000011,2025-09-21 01:51:52.972129,Attended,0.0,2025-09-26 00:00:00.689570,2025-09-26 01:12:00.689570
EN00000089,MEM000217,CI0000011,2025-09-23 19:28:08.257124,Attended,0.0,2025-09-26 00:00:00.531549,2025-09-26 00:47:00.531549
EN00000090,MEM001943,CI0000011,2025-09-23 20:55:23.948745,Attended,0.0,2025-09-26 00:00:00.772799,2025-09-26 01:00:00.772799
EN00000091,MEM001605,CI0000011,2025-09-24 20:13:43.110482,No Show,0.0,,
EN00000092,MEM001519,CI0000011,2025-09-24 15:41:43.651812,No Show,0.0,,
EN00000093,MEM001378,CI0000012,2025-09-24 00:07:36.215238,Attended,0.0,2025-09-26 00:00:00.382555,2025-09-26 01:59:00.382555
EN00000094,MEM001838,CI0000012,2025-09-23 12:29:50.834114,Attended,0.0,2025-09-26 00:00:00.459651,2025-09-26 01:31:00.459651
EN00000095,MEM001355,CI0000012,2025-09-23 10:12:39.331426,Attended,0.0,2025-09-26 00:00:00.648958,2025-09-26 01:04:00.648958
EN00000096,MEM001067,CI0000012,2025-09-18 21:29:14.488017,Attended,0.0,2025-09-26 00:00:00.907502,2025-09-26 01:31:00.907502
EN00000097,MEM001348,CI0000012,2025-09-23 00:34:16.140550,Attended,0.0,2025-09-26 00:00:00.826419,2025-09-26 01:20:00.826419
EN00000098,MEM001641,CI0000012,2025-09-20 12:39:50.286371,Attended,0.0,2025-09-26 00:00:00.437861,2025-09-26 01:34:00.437861
EN00000099,MEM001063,CI0000012,2025-09-22 22:53:11.461411,Attended,0.0,2025-09-26 00:00:00.713437,2025-09-26 01:10:00.713437
EN00000100,MEM000615,CI0000012,2025-09-20 05:56:47.004497,Attended,0.0,2025-09-26 00:00:00.211432,2025-09-26 01:05:00.211432
EN00000101,MEM000598,CI0000012,2025-09-24 11:59:28.694213,Attended,0.0,2025-09-26 00:00:00.148872,2025-09-26 01:59:00.148872
EN00000102,MEM001462,CI0000012,2025-09-22 05:50:58.828485,Attended,0.0,2025-09-26 00:00:00.010966,2025-09-26 00:53:00.010966
EN00000103,MEM001142,CI0000012,2025-09-23 21:20:20.925588,Attended,0.0,2025-09-26 00:00:00.242012,2025-09-26 01:48:00.242012
EN00000104,MEM001889,CI0000012,2025-09-20 06:19:35.915443,Attended,0.0,2025-09-26 00:00:00.721953,2025-09-26 00:50:00.721953
EN00000105,MEM000714,CI0000012,2025-09-18 18:07:29.601923,Attended,0.0,2025-09-26 00:00:00.935869,2025-09-26 01:32:00.935869
EN00000106,MEM000376,CI0000012,2025-09-26 00:00:00.282499,Attended,0.0,2025-09-26 00:00:00.018245,2025-09-26 00:51:00.018245
EN00000107,MEM000531,CI0000012,2025-09-26 00:00:00.407015,Attended,0.0,2025-09-26 00:00:00.796142,2025-09-26 00:58:00.796142
EN00000108,MEM000437,CI0000012,2025-09-20 12:42:33.791850,Attended,0.0,2025-09-26 00:00:00.537457,2025-09-26 01:13:00.537457
EN00000109,MEM000550,CI0000012,2025-09-22 10:40:11.128103,Attended,0.0,2025-09-26 00:00:00.159788,2025-09-26 00:54:00.159788
EN00000110,MEM000383,CI0000012,2025-09-24 11:03:18.582285,Attended,0.0,2025-09-26 00:00:00.854091,2025-09-26 00:57:00.854091
EN00000111,MEM000940,CI0000012,2025-09-25 22:55:16.571594,Attended,0.0,2025-09-26 00:00:00.291726,2025-09-26 01:18:00.291726
EN00000112,MEM001206,CI0000012,2025-09-25 00:03:37.331990,No Show,0.0,,
EN00000113,MEM000527,CI0000012,2025-09-24 05:18:05.633817,No Show,0.0,,
EN00000114,MEM001379,CI0000013,2025-09-25 16:45:46.617993,Attended,0.0,2025-09-27 00:00:00.435627,2025-09-27 00:58:00.435627
EN00000115,MEM001108,CI0000013,2025-09-23 11:37:17.134960,Attended,0.0,2025-09-27 00:00:00.507797,2025-09-27 01:04:00.507797
EN00000116,MEM000442,CI0000013,2025-09-20 01:41:19.363126,Attended,0.0,2025-09-27 00:00:00.439114,2025-09-27 01:41:00.439114
EN00000117,MEM001959,CI0000013,2025-09-24 03:18:12.627187,Attended,0.0,2025-09-27 00:00:00.094085,2025-09-27 01:21:00.094085
EN00000118,MEM001133,CI0000013,2025-09-23 00:10:35.445370,Attended,0.0,2025-09-27 00:00:00.731826,2025-09-27 01:49:00.731826
EN00000119,MEM000175,CI0000013,2025-09-24 18:24:29.053459,Attended,0.0,2025-09-27 00:00:00.680320,2025-09-27 01:54:00.680320
EN00000120,MEM000804,CI0000013,2025-09-22 19:54:22.293474,Attended,0.0,2025-09-27 00:00:00.754017,2025-09-27 01:49:00.754017
EN00000121,MEM000482,CI0000013,2025-09-26 15:23:33.141903,Attended,0.0,2025-09-27 00:00:00.518138,2025-09-27 01:32:00.518138
EN00000122,MEM001012,CI0000013,2025-09-26 05:35:04.613077,Attended,0.0,2025-09-27 00:00:00.750473,2025-09-27 01:27:00.750473
EN00000123,MEM000011,CI0000013,2025-09-24 14:48:23.202599,Attended,0.0,2025-09-27 00:00:00.121770,2025-09-27 00:53:00.121770
EN00000124,MEM001806,CI0000013,2025-09-25 23:08:39.271027,Attended,0.0,2025-09-27 00:00:00.890381,2025-09-27 00:46:00.890381
EN00000125,MEM000627,CI0000013,2025-09-22 19:05:17.023884,Attended,0.0,2025-09-27 00:00:00.991416,2025-09-27 01:11:00.991416
EN00000126,MEM001663,CI0000013,2025-09-23 15:06:56.543854,Attended,0.0,2025-09-27 00:00:00.959474,2025-09-27 01:47:00.959474
EN00000127,MEM000949,CI0000013,2025-09-25 15:02:47.832209,Attended,0.0,2025-09-27 00:00:00.643262,2025-09-27 00:50:00.643262
EN00000128,MEM000772,CI0000013,2025-09-21 20:40:41.463057,Attended,0.0,2025-09-27 00:00:00.914721,2025-09-27 01:08:00.914721
EN00000129,MEM000228,CI0000013,2025-09-18 05:49:44.140797,Attended,0.0,2025-09-27 00:00:00.073471,2025-09-27 01:33:00.073471
EN00000130,MEM000846,CI0000014,2025-09-25 09:58:26.380822,Attended,0.0,2025-09-27 00:00:00.316756,2025-09-27 01:08:00.316756
EN00000131,MEM001292,CI0000014,2025-09-23 23:59:12.910554,Attended,0.0,2025-09-27 00:00:00.248636,2025-09-27 01:01:00.248636
EN00000132,MEM000381,CI0000014,2025-09-21 10:23:16.511856,Attended,0.0,2025-09-27 00:00:00.010150,2025-09-27 01:05:00.010150
EN00000133,MEM000868,CI0000014,2025-09-21 13:17:44.517532,Attended,0.0,2025-09-27 00:00:00.180420,2025-09-27 01:18:00.180420
EN00000134,MEM001905,CI0000014,2025-09-24 07:16:38.668654,Attended,0.0,2025-09-27 00:00:00.349090,2025-09-27 00:53:00.349090
EN00000135,MEM000141,CI0000014,2025-09-26 03:41:55.632389,Attended,0.0,2025-09-27 00:00:00.314495,2025-09-27 00:57:00.314495
EN00000136,MEM001868,CI0000014,2025-09-26 20:51:43.499753,Attended,0.0,2025-09-27 00:00:00.827754,2025-09-27 01:12:00.827754
EN00000137,MEM001053,CI0000014,2025-09-20 17:24:16.961480,Attended,0.0,2025-09-27 00:00:00.353315,2025-09-27 01:01:00.353315
EN00000138,MEM000827,CI0000015,2025-09-23 01:23:02.204065,Attended,0.0,2025-09-27 00:00:00.786778,2025-09-27 01:28:00.786778
EN00000139,MEM000430,CI0000015,2025-09-22 22:36:38.556097,Attended,0.0,2025-09-27 00:00:00.670451,2025-09-27 01:31:00.670451
EN00000140,MEM001131,CI0000015,2025-09-27 00:00:00.467738,Attended,0.0,2025-09-27 00:00:00.199886,2025-09-27 01:03:00.199886
EN00000141,MEM001053,CI0000015,2025-09-24 07:23:31.009189,Attended,0.0,2025-09-27 00:00:00.805094,2025-09-27 01:36:00.805094
EN00000142,MEM001690,CI0000015,2025-09-24 20:09:09.226630,Attended,0.0,2025-09-27 00:00:00.204595,2025-09-27 01:40:00.204595
EN00000143,MEM001507,CI0000015,2025-09-20 23:41:15.503650,Attended,0.0,2025-09-27 00:00:00.924467,2025-09-27 01:09:00.924467
EN00000144,MEM001707,CI0000015,2025-09-24 18:53:40.909772,Attended,0.0,2025-09-27 00:00:00.871083,2025-09-27 01:17:00.871083
EN00000145,MEM001454,CI0000015,2025-09-21 14:18:33.889961,Attended,0.0,2025-09-27 00:00:00.882287,2025-09-27 00:45:00.882287
EN00000146,MEM001385,CI0000015,2025-09-26 07:51:57.048912,Attended,0.0,2025-09-27 00:00:00.886292,2025-09-27 01:31:00.886292
EN00000147,MEM000136,CI0000015,2025-09-23 10:48:17.682867,Attended,0.0,2025-09-27 00:00:00.513250,2025-09-27 01:26:00.513250
EN00000148,MEM000078,CI0000015,2025-09-25 00:46:50.459183,Attended,0.0,2025-09-27 00:00:00.981327,2025-09-27 01:31:00.981327
EN00000149,MEM001436,CI0000015,2025-09-27 00:00:00.143249,Attended,0.0,2025-09-27 00:00:00.597523,2025-09-27 01:41:00.597523
EN00000150,MEM000808,CI0000015,2025-09-25 07:28:37.509254,Attended,0.0,2025-09-27 00:00:00.077773,2025-09-27 01:44:00.077773
EN00000151,MEM000039,CI0000015,2025-09-24 07:23:24.522956,Attended,0.0,2025-09-27 00:00:00.328065,2025-09-27 01:06:00.328065
EN00000152,MEM000392,CI0000015,2025-09-23 20:21:17.661420,Attended,0.0,2025-09-27 00:00:00.696789,2025-09-27 01:32:00.696789
EN00000153,MEM000949,CI0000015,2025-09-23 04:29:39.121905,Attended,0.0,2025-09-27 00:00:00.970767,2025-09-27 01:30:00.970767
EN00000154,MEM000191,CI0000015,2025-09-27 00:00:00.991748,No Show,0.0,,
EN00000155,MEM000554,CI0000016,2025-09-25 01:46:33.663569,Attended,0.0,2025-09-27 00:00:00.455006,2025-09-27 01:23:00.455006
EN00000156,MEM000172,CI0000016,2025-09-22 09:19:10.031168,Attended,0.0,2025-09-27 00:00:00.310094,2025-09-27 01:11:00.310094
EN00000157,MEM000027,CI0000016,2025-09-22 21:35:00.646574,Attended,0.0,2025-09-27 00:00:00.762541,2025-09-27 00:59:00.762541
EN00000158,MEM000140,CI0000016,2025-09-26 07:22:56.467710,Attended,0.0,2025-09-27 00:00:00.917523,2025-09-27 01:20:00.917523
EN00000159,MEM000558,CI0000016,2025-09-22 23:45:20.422583,Attended,0.0,2025-09-27 00:00:00.168454,2025-09-27 01:25:00.168454
EN00000160,MEM000926,CI0000016,2025-09-22 05:31:55.988542,Attended,0.0,2025-09-27 00:00:00.459853,2025-09-27 01:47:00.459853
EN00000161,MEM000642,CI0000017,2025-09-25 10:42:54.918502,Attended,0.0,2025-09-27 00:00:00.760842,2025-09-27 01:07:00.760842
EN00000162,MEM001639,CI0000017,2025-09-26 06:17:36.540208,Attended,0.0,2025-09-27 00:00:00.109397,2025-09-27 00:46:00.109397
EN00000163,MEM000332,CI0000017,2025-09-26 06:28:15.585878,Attended,0.0,2025-09-27 00:00:00.438262,2025-09-27 01:31:00.438262
EN00000164,MEM001358,CI0000017,2025-09-21 00:59:03.418307,Attended,0.0,2025-09-27 00:00:00.053560,2025-09-27 01:44:00.053560
EN00000165,MEM000204,CI0000017,2025-09-24 09:57:16.996521,Attended,0.0,2025-09-27 00:00:00.180188,2025-09-27 00:49:00.180188
EN00000166,MEM001758,CI0000017,2025-09-21 18:44:00.368848,Attended,0.0,2025-09-27 00:00:00.829812,2025-09-27 00:47:00.829812
EN00000167,MEM001989,CI0000017,2025-09-25 15:38:25.873099,Attended,0.0,2025-09-27 00:00:00.083277,2025-09-27 00:56:00.083277
EN00000168,MEM000462,CI0000017,2025-09-26 18:24:15.750033,Attended,0.0,2025-09-27 00:00:00.172070,2025-09-27 00:46:00.172070
EN00000169,MEM001292,CI0000017,2025-09-26 19:37:52.114450,No Show,0.0,,
EN00000170,MEM001132,CI0000018,2025-09-23 02:35:24.681563,Attended,0.0,2025-09-27 00:00:00.739177,2025-09-27 01:35:00.739177
EN00000171,MEM001539,CI0000018,2025-09-24 14:53:25.110140,Attended,0.0,2025-09-27 00:00:00.203168,2025-09-27 01:42:00.203168
EN00000172,MEM000801,CI0000018,2025-09-20 18:20:09.919392,Attended,0.0,2025-09-27 00:00:00.612452,2025-09-27 00:52:00.612452
EN00000173,MEM000092,CI0000018,2025-09-21 14:43:31.553226,Attended,0.0,2025-09-27 00:00:00.960528,2025-09-27 00:59:00.960528
EN00000174,MEM001419,CI0000018,2025-09-19 09:53:58.838041,Attended,0.0,2025-09-27 00:00:00.654785,2025-09-27 01:31:00.654785
EN00000175,MEM000040,CI0000018,2025-09-22 07:35:17.724362,Attended,0.0,2025-09-27 00:00:00.648146,2025-09-27 00:58:00.648146
EN00000176,MEM001420,CI0000018,2025-09-26 14:16:28.738749,Attended,0.0,2025-09-27 00:00:00.132535,2025-09-27 01:33:00.132535
EN00000177,MEM000645,CI0000018,2025-09-24 02:36:06.009315,Attended,0.0,2025-09-27 00:00:00.697533,2025-09-27 01:49:00.697533
EN00000178,MEM001260,CI0000018,2025-09-25 11:51:50.659586,Attended,0.0,2025-09-27 00:00:00.055117,2025-09-27 01:52:00.055117
EN00000179,MEM001556,CI0000018,2025-09-26 13:42:41.339495,Attended,0.0,2025-09-27 00:00:00.669060,2025-09-27 01:35:00.669060
EN00000180,MEM000845,CI0000018,2025-09-26 11:47:17.975845,Attended,0.0,2025-09-27 00:00:00.743640,2025-09-27 01:07:00.743640
EN00000181,MEM000383,CI0000018,2025-09-26 18:42:44.427163,Attended,0.0,2025-09-27 00:00:00.447450,2025-09-27 01:19:00.447450
EN00000182,MEM001519,CI0000018,2025-09-22 04:55:00.490538,Attended,0.0,2025-09-27 00:00:00.388038,2025-09-27 01:25:00.388038
EN00000183,MEM001746,CI0000018,2025-09-25 21:55:42.068995,Attended,0.0,2025-09-27 00:00:00.863514,2025-09-27 01:51:00.863514
EN00000184,MEM000025,CI0000019,2025-09-21 18:49:39.191629,Attended,0.0,2025-09-27 00:00:00.912912,2025-09-27 01:58:00.912912
EN00000185,MEM000842,CI0000019,2025-09-23 19:05:47.623363,Attended,0.0,2025-09-27 00:00:00.950786,2025-09-27 01:31:00.950786
EN00000186,MEM000591,CI0000019,2025-09-18 19:36:39.985549,Attended,0.0,2025-09-27 00:00:00.854205,2025-09-27 02:00:00.854205
EN00000187,MEM000488,CI0000019,2025-09-24 09:35:57.152974,Attended,0.0,2025-09-27 00:00:00.168341,2025-09-27 01:15:00.168341
EN00000188,MEM000661,CI0000019,2025-09-25 02:44:43.609330,Attended,0.0,2025-09-27 00:00:00.369038,2025-09-27 01:12:00.369038
EN00000189,MEM000400,CI0000019,2025-09-22 07:47:58.887572,Attended,0.0,2025-09-27 00:00:00.814765,2025-09-27 01:19:00.814765
EN00000190,MEM000350,CI0000019,2025-09-25 18:04:37.704789,No Show,0.0,,
EN00000191,MEM000378,CI0000020,2025-09-22 02:49:16.477176,Attended,0.0,2025-09-27 00:00:00.234800,2025-09-27 01:20:00.234800
EN00000192,MEM000021,CI0000020,2025-09-26 22:01:31.335517,Attended,0.0,2025-09-27 00:00:00.115438,2025-09-27 00:51:00.115438
